,Mama's Buoi
882,"A place visited by most of the college students after the classes to  try some new dish every day.This place offers all those dishes which are loved by all the children and adults.Moreover, the charges are not too high against the taste and service it offers.Try this place and  do give a feedback.."
883,Great food and service! Loved the pesto pasta and spring rolls! We ordered 3 cocktails. LIIT was the best and sex on the beach was great too! Amazing ambience and music too! 
884,"Had been there with some friends in the evening for a  drink or two ( shakes) . They have nice options in it and the food was great. We ordered some snacks to munch on with some good the beverages.The ambience was great, though a little dark but nice."
885,"A great budget friendly place serving some really awesome food. We had my all time favourite keema pav, it was cooked to perfection. Achari paneer tikka was really delicious. Will come for that. The ambience is really welcoming and their shakes are the best. The service was swift. The desserts were my favourite I had death by chocolate and sizzling brownie with icecream, both chocolatey."
886,"I had a wonderful experience here.The Fish fry was crunchy and crispy on the outside and soft on the inside- it just melts in your mouth, keema pao and dumblings will make you want to have more. The mojito was refreshing and strong. The service was excellent. And after all the eating and drinking we ended up the course with brownie and icecream with chocolate drizzle."
887,"Hudsone Lane is one of the economical places! Mama’s Buoi gives you a good blend of a place where you can enjoy live music, good ambience and the delicious food! I booked the terrace section for my birthday party! The only problem was it was too hot at the top! However their 3rd floor section is a better option! But if you want to enjoy the live music, you will have to use their terrace section.They also have a photographer who will capture your best pals ❣️"
888,"This restaurant was full on a saturday lunch where other cafes were empty. When we entered only two three tables were vaccant. We started our order with their special college mojito which had orange, watermelon and lime juice. It was a perfect to drink to have on a sunny day.Later we tried their Nachose Bhel and Vegetarian Dimsums. I like the idea of serving bhel puri with nachose and it was tasty. Dimsums were just too good. Definately recommendes to order when you go there.We also tried their Arabiatta pasat which was also goodIt was great experience at this place."
889,Visited there with bunch of friends and loved this place . From food to the ambiance everything was amazing. You can say it is one of the best outlet in gtb nagar. Tried amazing starters with some mocktails there.***************************************************Now let me tell you about the amazing food and moctails I have tried there:-STARTERS:-> Paneer 65- Fried cubes of paneer tossed in amazing sauce with pinch of South Indian flavour.> Veg Dimsums- Dimsums with filling of green veggies severed with chilli sauce and pickled ginger.> Chicken Dimsums- Everything was same as veg Dimsums but green veggies filling was change with amazing chicken filling.> Quattro Formaggi Pizza-...read more
890,Oh my sunday lunch was delicious and yummy! I went for a day out with mommy so i thought why not try this place mama’s buoi.I ordered one lindt shake along with their penne pasta and veg momos. All the dishes were superbly amazing. My overall ratings :-Food - 4.5/5Ambience- 5/5Courteous Staff - 4.5/5Music - 4/5Overall my experience was great at this place !
891,I just loved the ambienceof this place..You all can enjoy here with family and friends..Must try this outlet when you are nearby Delhi University or Hudson lane..I loved the shakes and desserts here..
892,"This cafe in GTB nagar is a hidden gem. The ambience is very friendly and the food is really tasty. Though their Italian dishes aren’t that great, I really liked their North Indian dishes. I tried many dishes but the ones I would like to recommend will definitely be: Dahi ke kebab: crispy from outside and very soft from inside. The dish was perfectly spiced and tasted wonderful.Chilli garlic noodles: though the quantity was less and the the preparation time was a lot, the dish tasted great. Veg garlic sauce : sauted veggies in Chinese garlic sauce with loads of chilli, this dish was full of flavours and is highly recommended.Laughing melon mocktail: loads of watermelon chunks...read more"
893,"Visited this cafe for lunch. We ordered a burger, chilli garlic noodles, cheese steak and mojitos. The burger tasted good nothing too delicious or extra ordinary. Chilly garlic noodles were good too. Personally I did not like the steak as there was too much oil present in it. The oil tasted stale kind of and It made the entire mouth oily. Overall a decent cafe but I did not personally feel that it is one of the best out there. There are better options available in GTB Nagar."
894,"So this is one of the most happening places on Hudson Lane....yes!! Mama's Buoi. This place is unique itself. The food, ambience, music and service etc.are perfectly amazing. I would suggest you to book a table on their terrace and go there around 6 pm and so, as you will be able to witness a beautiful sunset with the succulent food. Do try their Mama's Sangria and Crispy chilly paneer. I had an amazing evening there. I hope you to experience the same. Happy Dining. "
895,The seating experience at the rooftop is amazing especially when the weather is good.We ordered a Manchow Veg Soup and Quesdilla Paneer Tikka.
896,"The best cafe in hudson. The first cafe that comes in mind whenever i hear GTB Nagar.Ambience is amazing and soothing. Terrace area is also great.Live music is the essence of the night. Keeps you involved.Very attentive staff and good service. Cant fault this place.Quite simply fantastic food, every thing is absolutely delicious.Must visit.5/5"
897,"Being one of the best and among the most budgeted cafes, mama's buoi certainly has the best slection menu.This is one of my repetitive cafe in gtb to chill out.This time i had:- virgin mojito: 4/5- laughing melon: 4/5- dirty double chocolate shake: 4/5- big buddy: 3.5/5- verdure pizza: 4.5/5- mix veg coriander dimsums: 5/5My recommendations: mix veg coriander dimsums."
898,Totally in love with this place.... Its North Delhi's answer to all cafes n nightplaces of HKV... The vibes.. the crowd... The ambiance.. the food... The cocktail... The music... All put together n its a heady mix which is just perfect for a Saturday night hungama.... my lil one was given special attention by the staff n she completely loved her Fruit Margarita (a must have while there)... Ordered small nibbles with drinks and enjoyed all was served... Groups of young boys n gurls were dancing to the music played near their tables only... Noise levels reach delicious levels as night progresses...Reservation must if going on weekends...
899,This outlet is best to have a roof top feeling. Ambience is just amazing . Starting with some mocktails  ozzy jumble was good in taste guava merry u will just love .fruit punch with lots of fruits is a must .do try there mama's signature pizza which was too delicious loaded with cheese .  Service is fast. Chesse sticks were quite disappointing with no cheese feeling in it . I personally love there oreo shake and tiranga chaap u will just wannna have more and more . In dessert we had  walnut brownie sizzler just too yummy . Go try this place once
900,"It’s a gem. Been there 3 times, each time came back with good memories. Crowd is always decent and there live music and special nights are surely not to miss 👍🏻"
901,"This Mama’s buoi is not what you think... well what else do you say about a place that is full to its gills even on a Monday evening... the seating is divided on two floors, the terrace with hookahs and the level below which is generally used by smaller groups and families looking to have a good time... it is one of the very few cafes in North Delhi which are dependable and on a dull day is sure to lift up your mood... the quality of food and the ingredients shines through in the taste and all food is neatly presented on thick wooden boards.. portion sizes are good and enough for two... what I love most about this place is the cordial staff and the choice of music... many happy evenings...read more"
902,"Located near GTB nagar metro station,I went with my friend and tried various things from the menu,For the drinks we had Innocent Girl, Virgin Mojito, Classic Oreo Shake & Coffee and Toblerone Shake; for me Innocent Girl was really Amazing & also the Shakes were impeccably Great.We further ordered Baked Nachos Dish, Fried Mushroom & White Sauce Alfredo Pasta; Baked Nachos were Simply Irresistible and Pasta was nice & creamy, although we didn’t liked Fried Mushrooms.Yup exactly the desserts are must, we had Death By Chocolate & Sizzling Brownie, Death by chocolate is a must cause it was mouthwatering and also so chocolaty, cake was fresh, every bite was Yum.Overall the ambiance is...read more"
903,I just loved the ambience here..Lovely teraace sitting and live music and performance...Enjoyed each and every bite of all the dishesGreat food and service..I will specially recommend the shakes and dessert here and tiranga soya chaap.
904,"Standing aside amidst the bustling lane with all those cafes here comes mama’s buoi with super tasty food and very pocket friendly prices, that includes alcohol ofc! I liked where I sat behind the bar with tall chairs which were very comfortable! Star points here! These are recommended when you want it quiet and peaceful and don’t want the crowd and the loud music! I had a great lunch with my friend owing to this factor! Following is the list of what we ate and drank and how did we feel about it! 1. Achari paneer tikka! Paneer was juicy and it was adequately flavoured! A 4/5! 2. Vegetable dumplings. Although I didn’t like it that much my friend loved it so a 4 there too! 3. Moti...read more"
905,"Been there twice! Awesome ambience and lovely food. The music played goes well with the party mood, starters and drinks are nice as well.The staff is friendly and cooperative too.Thumbs up 👍 "
906,"after a long await i finally visited this cafe💓💓💓i have  heard alot about this place.....This outlet is the best for the party people as they serve both alchocol and hookha... we tried various dishes out here,must say that their presentation is really good. The service is really nice and the staff is quiet friendly out here. My friends and I enjoyed this place so much and we ordered dishes like non veg platter, fish fries, magical platter, mutton rara and mutton biryani.... All of these mouthwatering dishes were just delicious. Go and try it out yourself.☺recommended - mutton rara and fish fries😍"
907,"this is one of my favourite cafe in gtb nagar ....best for party people😍😍 and the People who enjoys live music while having dinner👍 i have visited this cafe many time but always in day time this time visited it at night and it was amazing 😍😍 i had my dinner on terrace while listening some good music it really made my day....the service was excellent mr suresh who was serving us was so humble .... service was quicki order virgin mojito, death by chocolate, fish fries, mutton rara, magical platter, and biryaniamazing presentation of food that you might have watery saliva by looking at the pictures onlymy personal recommendation fish fries, mutton rara and biryaniamazing...read more"
908,"Yesterday I visited this outlet in Hudson lane with my friends n had an amazing evening. They have an amazing ambience with an amazing bar n rooftop n the best part is live music, yes they have live music to make you food more enjoyable. We started with some mocktails and shakes then we had bread sticks, spring rolls which I strongly recommend you all to try, penne arrabiata pasta, n tandoori paneer tikka And in main course Dal makhani which was so yummy, with breads as we were already full. I ended up having death by chocolate, ohh wanna have that again! so overall this outlet made my evening n the best part is live music!Food - 5/5Ambience - 5/5Service - 5/5"
909,It was a pathetic experience. The food was pretty average. The soup was quite diluted. They kept mixing up the orders. I ordered veg noodle soup and they got the manchow soup. I did not realize until I had two spoons from it. Then they realized they have placed the other table's food on our table. I expected them to take the soup inside and replace it with a fresh one for the other table. He the guy just took the soup from my table and served the folks on the other table. So unprofessional. I came here based on 4.5 rating on zomato. May be the place is good for parties and drinks but do not come here for good food...
910,"The place is located in the heart of gtb nagar. Vishwavidhyalaya is the nearby metro station. The food is good. I had chilli potatoes which were really nice and crispy. The veg platter and the non veg platter both were okayish. Do try their swiss lindt shake with mint. Loved it. The price is also not very high. Just perfect for the students and those date nights, without burning a hole in ur pocket. Live music is also there. The singer is nice. Loved the experience. The only thing lagging is the service which is quite slow. Hence rated 3/5."
911,One of the best place in north campus to have drinks and listen to live music. We went there for a friend's birthday party and for our surprise it was a Bollywood cum punjabi night. we enjoyed too much. Really nice place to be with friends.
912,"i have always liked mama's boui i have been here for like many times n it has never disappointed me , from it's ambience to it's staff everhthing is very pleasing , the specialities that i liked in there were -starters : veg and non veg platters : i usually prefer the non-veg platter more being a non-veg lover , but what really made me order the veg platyer was it's soya variety it had like 3 or 4 types of soya's from creamy to spicy to crispy which were just great!chicken sizzler : if you are not a creamy person i think then this one is for you , a pure continental taste and a super healthy dish !main course : i had tried ""murg kari masala""- which was actually a must try...read more"
913,"The beautiful bar and lounge here in Hudson lane, The Mama's Buoi has fabulous seating area divided into beautiful rooftop area and generous indoor. The decor is extensively laden with impressive designing and superb Bar. Refreshing cocktails and mocktails with delicious food is their speciality. The bar menu is full of refreshing drinks,i ordered cocktail named ‘Gand land’, added with wisky and flavourful taste, mama's Bailey was beautifully presented and perfect in taste and flavors.The food menu is full of delicious and tasty appetizers, i started with cheesy nonveg nachos, i appreciate the presentation and taste. “Tandoori chicken”was mindblowing, added with spicy taste...read more"
914,I have been here many times and i must say this place is really good. The ambiance is good and the couches also. I personally like to sit on the rooftop in the evening. The staff is good to you and food is also amazing. But slightly at a higher price i guess. But a must try place for sure. 
915,I celebrated my sister's bday in Mama's buoi. We enjoyed the music and the band was also good.... Ambience is amazing. Food was good. Junaid' served us well. 
916,Mama's Buoi won't disappoint you on the food aspect. I tried a rare dish for the first fime here called Bunny Chow which turned out to be absolutely delicious! It was a hollowed out bread filled with paneer bhurji and topped with a cheese slice and an olive. Both the cheese slice and olive added lovely flavors to the bunny chow. Could have had another plate The mushroom spinach lasagna was well prepared too. Amongst the drinks I loved their preparation of Mama's Sangria and college virgin mojito. The service was good. I'm looking forward to trying out more food from here💜 
917,"Excellent food, good ambiance, Cooperating staff and a nice sporty environment. A really nice place to be chosen as a sports bar destination. "
918,"If you don't want to spend too much, this is the perfect place to binge eat yum food. The Terrace portion also looks very pretty at night and is great for insta worthy pictures "
919,"Its a supper amazing place . The decor , ambiance, music , friendly staff is wwoowwwLively place . The food is soooo good , to choose a fav dish is a task . Must visit "
920,"Mama's buoi bar and lounge is amazing place to create awesome moments. The atmosphere made me go wow. The lounge surely is designed to make your time enjoyable. The DJ has best soundtracks going on which uplifts my mood. I appreciate the first class Hospitality. The menu is full of refreshing drinks and delicious food. The LIIT was refreshing, added with alcohol and flavors, Gang land the cocktail was perfect in taste. Mama's Bailey was blended with alcohol and presented in classic style. The mocktails were mindblowing in taste and full of flavourful sip.The appetizers were delicious and prepared with perfection. The keema pao was flavourful, added with spices and chicken bites. The...read more"
921,"Mama's Buoi is one of the nicest place to hangout in GTB Nagar.The ambience was good and pleasant with a variety of food on offer.In addition to this, the staff was very friendly and extremely cooperative.It is one of the few places in GTB Nagar offering valet parking, again a very important point to note in a crowded place like GTB Nagar.Lastly, food was also very nice and tasty.We ordered-1. Peri Peri Chicken Tikka - A must try (5/5)2. Twin's burger(It is a set of four small burgers) - it was average (3/5)3. Chicken lasagna - It was quite tasty (4.5/5)"
922,Recently paid a visit at mama's buoi...excellent place with great ambience...the staff is cordial..a low on pocket place with delightful food..I ordered strawberry sparkles shake and the taste was outstanding...Fruit punch was really flavoursome..and refreshingIf u like tequila then indian spices margarita is a must tryTheLaughing melon was energizing and innovativeMini bunny chow was alluring with stuffing of cheese and distinct flavor.Dahi ke kebabs and spring rolls were amazingOverall its a good party place
923,"I had ordered Guava mary ,it was such soothing for my taste glands,then I had ordered virgin pinacolada,just the right amount of sweetness n thickness,in starter s we had ordered tandoori veg platter, the soya snack was the most fulfilling,i only had problem with the tandoori paneer,it was hard,which I did prefer soft, and then was the turn for dahi k kebab,just the right amount of consistency,over all good experience with food,ambience,staff and cleanliness."
924,Tried a new cafe in GTB nagar and it was all worth it! Couldn’t have had a better experience! From drinks to dessert.. all were delicious! The food was outstanding and well trained staff. The chef presented his ideas pretty well and quality was well maintained! I recommend this place to all who love experimenting with new food.
925,"Located in GTB Nagar, the finest and most delicious gem of delhi ‘’Mama’s Buoi’’- A place to spend most of your evening with friends, most coolest place with super cool ambience!! Everything here is just perfect 👌🏻Energetic vibes, decor, food and music is just lovely and perfect !! Coming to the food : We ordered : 1. White sauce pasta : more creamy and rich pasta 😋2. Chilli chicken : Most delicious and crip 😍3. Chicken Momos 4. Quesadilla                                                Overall experience was good!! Staff was quite good and lovely !!              Food : 4.5/5 Staff : 4/5 Ambience 4/5 "
926,"Mama's buoi, a perfect place to visit with family and friends. The ambience is really good.They serve the best quailty food with clean and tempting presentation.I tried strawberry sparkles shake...a complete combination of strawberry vanilla, jello, marshmallow, magic popc and jems..Dirty double shake is divine..just loved itAchari paneer tikka, Dahi k kebab, Pan fried noodles, Mini bunny chow....every thing i had was delicious..And....the most mouth watering ...MAMA'S SIGNATURE PIZZA..Anytime you visit mama's buoi...this is a must try..a perfect blend of goat cheese, sundried tomatoes, basil pesto and veggies...one of the best pizzas i have ever had..Really felt amazing here."
927,"Hands down, it is the best place to hang with friends in gtb nagar.Yesterday I went to this outlet with my friend, talking about the ambience, it was really nice and cozy and seating arrangement was very comfortable.Coming to the food, we order wild side pizza, chicken tikka tandoori, chicken tikka Peri Peri and the crispy fried paprika. The best item was crispy fried paprika, I highly recommend this one. Talking about the service, all the waiters were humble and they served food fast so, it was hot and fresh."
928,The palce was .. my experience in this cafe was one of the best experience I had ! The interior was good The staff was good and well mannered About food 💖-Drinks Strawberries sparkles Strawberry vanilla hello marshmallow magic pops and gems Virginia mojito Refreshing and tasty as usual -Starters Mel ting moments Fried mozzarella cheese sticks with three dip Crispy chili mushroom Peri peri  chicken tikka Chunks of chicken marinated in spicy peri peri sauce Pan fried noodlesPan fried noodles with choice of add ones  We had all this things and had a Awsome experience .. may much etter wht I think 💕
929,If you want Delicious and tasty food..Go and tryMamas Buoi.. Everything. of this place was AmazingI tried Mini Bunny chaoMamas Signature Pizza.. It was thin christ ..But properly baked .Toppings are very tasty U need not to add any Chilly flakes or OrigenoI love the taste of FRUIT PUNCH.Consistency and small chopped fruits makes it DeliciousI recommend people to go and enjoy .foodKavita...The last bite.
930,Had an amazing time here with my friends this saturday. The table was available easily and the service was also very nice. The staff is very cooperative. The food was pretty yumm too. I had ordered:Big Buddy Burger (Chicken) 4/5 Pizza E Punjab (Chicken) 4/5Peri Peri Chicken Tikka 5/5Shredded Honey Chilli Chicken 5/5Mama's Sangriaa 4/5I would totally recommend this place as the food is really delicious and they have a very good variety in there menu. The place is budget friendly and has a good ambience too.
931,"An amaing outlet in GTB nagar, ambiance was good, i loved their bar, staff and service was also good.Beverages: All the beverages tasted great. Thumbs up !LIITPina coladaVirgin mojitoMama's sangria##Now coming to the food:1. Spicy Chicken DimsumIt was amazingly served. The presentation was superb along with its taste.2. Bhelpuri nachoI really loved this combination of nachos with bhel puri. It was too good in taste.3. Honey Chilli potatoIt was also good. The combination of sweet honey and spicy was lip smacking.4. Veg seekh kebab- I really not liked it at all. It was that good in taste. I recommened you not to order this dish.##Desert:1. Death by chocolate- What to say...read more"
932,few weeks back i visited this place decor was superb and the food was amazing 😊 the place was really crowded but we managed to get a seat for 2. we orderd thin crust paneer pizza and honey chilly potato and it was really tasty 😍 
933,"Visited this restaurant on a Sunday for dinner. Actually came here by chance as the original cafe I wanted to go too didn't have space. We were seated upon 5 mins of arriving.But I'm super happy that I stumbled upon this cafe/restaurant.The interiors are really quirky and nice.We were a table of 6, so we got to try a broad range of food.First up was the veg Manchow soup - 4/5, they served it really hot which is important while serving soup. Tasted really good.Dahi ke Kebab - 4.5/5, they serve a fried version instead of on a tawa. Which I guess is they're twist on the dish. Melted in my mouth .Punjab E pizza (chicken Tikka pizza) - 4/5, the base was thin and crunchy, just the way...read more"
934,"There is now world without pizza and when combined with good ambience and company of friends and family, it is ultimate. This is what you can get here.#food #foodie #foodblogger #foodlover #delhiblogger #phonephotography #foodphotography #frontline_view "
935,I went there with my friends and believe me it's one hell of a place.Food: Amazing taste and presentation.Ambience: beautiful ambience and music.Staff: courteous 😍😍Do visit this place😍
936,"Good seating options, nice ambience.Staff is polite and friendly however service is not very quick.Good food and drinks!We had a couple of starters and all of them were pretty good.I would recommend the chicken malai tikka for sure! "
937,"Located in GTB Nagar, this is one gem of a place with it's beautiful interiors and lightings along with amazing music. A really nice place to casually chill out with friends or even dine in at night. Even the food is delicious!We started off with Fish and chips, Hot and sour thai chicken salad and Chermoula chicken skewers. The fish and chips were delicious and fish was crispy, cooked to perfection. The chicken skewers were a different taste but still quite delicious. The salad was very unique, filling and the dressing went really well with the chicken and veggies. We then had the Pasta Arabiatta and Chicken biryani. Pasta was spicy and cooked in a tangy tomato sauce. Biryani had soft...read more"
938,This is one of the best cafes I’ve ever visit in hudson so beautiful and so pretty and also this place serves delicious food and this is a must visit place.
939,Nice place with good decore and good servicesnice place to enjoy with friends and familyI orderedmix sauce chicken pasta- pasta well covered with mix sauce with chunks of chicken taste goodNachos - nachos severed with beans salsa and sour cream was also goodperi peri chicken tikka -well marinated chicken in peri peri flavour . good quantitycoffee and toblerone - a thick and strong coffee all and all perfect coffee with Carmel flavourDeath by chocolate - chocolate cake covered with 3 flavour ice cream was best.
940,I do not think I have seen a place as beautiful as mamas boy in the whole of Hudson . It has such beautiful interiors that honestly you could make a whole world class movie inside of it. You enter the cafe and get awed of how beautiful everything is. I did not want to come back from there. From the entrance to the stairs to the windows. Everything is just so beautiful. And to top on that? The food is absolutely amazing. Loved the fabulous presentation and the food quality. The drinks are lip smacking . Although filled with beautiful interiors and great quality food However the staff is very sweet and polite. I would advise - don’t go here with an empty stomach coz this place is...read more
941,A nice place with great interiors is located 10 minutes from the GTB Nagar metro station.This place serves great food and shakes.I ordered : Dirty Double Shake : the thick shake was yummy with brownie and chocolate chip bits coming in each sip. The chocolate and vanilla ice cream in the mug was amazing.Cornitos (Nachos) : the nachos platter was filled with beans and salsa dip topped with sour cream and cheese. Peri Peri Chicken Tikka : nice 7-8 pieces of chicken marinated in spicy peri peri sauce served with green chutney is a must have here.Mix Sauce Chicken Pasta : an perfect mix of red and white sauce with good amount of chicken pieces topped with cheese. Death By...read more
942,I love this place... Everything sounds good here.. ambience is nice..nice place to hangout.. music is good. My first priority in GTB to hangout.
943,"The food was fresh, properly prepared and a great value for the price. We highly recommend it. but becoz of hukka side by side u find smoke there . Which may create problem for non smokers."
944,Mammas Boi: delicious food and amazing environment to hang around with friends and family. Serves drinks. Quite a fun environment with good vibes. 
945,"The ambiance and the interior was awesome .I tried many thing like nqchos bhel which tase simply amazing i have tried pasta,chicken momos, which has a good flavor and best taste , now comes to the shakes the shake taste really amazing, according to me the best shakes i have tried till now, pizza taste ok but everything is just amazing. which gave a good taste.Coming to the main thing which is staff , service and ambianceStaff :- 5/5 .Service:- 5/5 .Ambiance:-5/5 .Well i recommend this place is good for chill"
946,"I went there with a group of 8 friends and we ordered many different things from their large menu.They have a great seating arrangement on terrace and have a nice ambience, good music, and courteous staff.They serves some amazing dishes.Mama's signature pizza :- 4/5Garden fresh pizza:- 4/5Chilli chicken:- 5/5Panner tikka:- 4/5White sauce pasta:- 5/5Red sauce pasta:- 3.5/5Virgin mojito:- 4/5Hukkah:- 4/5"
947,"Nice place with dim lights and rooftop.. ambience is good , staff is also friendly..Must try Butter chicken balls, Mughlai chicken tikka and cheesy sticks ."
948,"Mama's Buoi is a great place to hangout. They serve amazing food. Have great ambience, taste and staff. It is one of the few cafes of Hudson which serves you at roof . And roof is quiet amazing too. Go for pizza, pasta, chilli potato, spring rolls and shakes . They are quiet good!4/5"
949,The white sauce pasta was very tasty. Highly recommended. Red sauce pasta's taste depends on one's personal taste. Chicken burger was average. Pizza wasn't good.
950,"A nice place to chill with friends or a hookah get together!I hadKeema pav- very delicious, just the right amount of spices!Paneer tikka- just the way it should be!Chicken pad thai- it was something different, one of the Asian dishes you can tryAnd the classicChilli potato !"
951,"The ambience of the place is nice, sophisticated. Cool place to spend some time.I had spring rolls, and it made quite an impression, it was perfectly balanced, not so oily and spicy.The shake i had was Dirty double, presentation was upto the mark so was the taste, the brownie made it more delicious and tempting.I had the Graden fresh pizza and as of the name it was topped with fresh vegetables, the bread was baked properly and the tatse was quite good.And for the desert, i had the Big Buddy and it was quite heavy for the desert. Ice cream, hot fudge and nuts, what else you need in the desert, it was tuly fulfilling and refreshing."
952,"Recently had a visit to Mama's Buoi, GTB Nagar. It was the best place I've visited till date. The people out there are very friendly. The ambience of the place is quite awesome. The rooftop is good and lovable in the evenings and nights. The quantity and quality of the food is good and the place is very good.So I had ordered the following out there-STARTERS1. Melting Moments- The best dish of this place. I'd ordered this dish twice. Loved this dish and the three dips with it.2. Paneer 65- It is a Hyderabadi dish. It tasted quite good.3. Dahi ke Kebab- They're tasty and quantity was good.4. Chicken Lolipops- They're good in taste.5. Moti Mushroom Tikka- A must try dish of the...read more"
953,So recently visited this place that is in the starting of the Hudson laneThe cafe has dim lights and has an amazing ambience .The service was also on time and they are always ready to help youI orderedMELTING MOMENTS - best fried cheese sticks if you missed this the. It was worthless going thereMOTI MUSHROOM TIKKA - it was nicely marinated overnight and served it had the perfect tasteCHICKEN LOLILOP - they were fried and were not juicy but got perfect with the SausePANNER 65 - it was paneer that was mixed with Sause and tadkaAnd kadi patta loved the tasteMAINS ****PANEER MAKHANI - perfect paneer makhani as it should be and the quantity and quality both were perfectKULCHA...read more
954,"The place is located on Hudson lane. Looks good from outside and inside. They had a melodious live performance which set the mood just right. Food was amazing, tried a lot of dishes and each was prepared to perfection. Service was quick but the staff was not that cooperative that's why an average rating."
955,Suitable place to visit with friends..this place has the best pasta ..and also pizzas are good..the place has a very nice ambience..and quick service
956,A very good place to hangout with friends and party as ambience is very nice and the food is awesome with very nice service . White sauce pasta and spicy chicken dim sums . Will visit again soon.
957,I have read few reviews stating problem with the bill and that is absolutely correct. You'll alwaz find couple of extra items added to you bill. Visited TWICE and happened TWICE!!!!Other than that service depends on the day and time you are visiting. If you are visiting on weekends expect a poor service and it takes long to get food orders. Whereas if its a weekday it is pretty smooth.A decent place to go but never forget to check your bill for item and prices.
958,This place is mostly for party loving people and also for the best pasta and dimsum. I tried there white sauce pasta and spicy chicken dimsum and they were so good. Definitely worth a try. 
959,"Mama's boi is just 8 mins walk from the GTB Metro Station and with the help of GPS, you can find it in a jiffy.When we were, there was some construction going on, which didn't help with exterior of the cafe. We even contemplated going somewhere else. But due to it's high ratings, we decided to give it a try.It's on Floor 2 & 3, which is accessible via an elevator.Floor 2 has indoor seating while floor 3 has outdoor.We got seated inside and the interiors are actually pretty. Dim lighting, raw bricks, blue cutlery, I was digging it.We got to ordering and we ordered Spring Rolls , Penne Arrabitta , Dahi ke kebab, fudge shake and butterscotch shake.The service was quick and...read more"
960,"Mama’s Buoi is at a prime location near DU, North campus. It caters to varied people and is cost effective too. Ambience is very cordial with light music in the background. Trendy yet snappy infrastructure was an added feature of this cozy place. Food was awesome; a felicitous combination of flavours. Wondrous experience!"
961,"Hudson lane is heaven on earth for all food lovers. The place with pretty decor and a cool ambience. So the things famous out here and to be recommended and what wr ordered are as follow melting moments ( mozzarella sticks with dip), mama's sangria and laughing queen mocktail. Pan fried noodles , garlic bread ,baked nachos , virgin mojito , Manchurian , death by chocolate . Everything was perfect , delicious presented with good presentation. Overall rating goes like price 4/5 ,food 5/5 , ambience 5/5 , quantity 5/5"
962,My favourite place when it comes to gtb nagar. The ambiance is really cool plus the choice of music adds to the beauty. The terrace area is amazing. Food is really good in taste.Chilly and tandoori chicken are their best dishes. We tried a few mock tails as well and all were great in taste Menu is very interesting! 🎀The staff was polite and helpful I give it a 5/5 
963,Mama's Buoi is a good place to visit with friends/family ❤️🔥Ratings-Service - 4*Staff- 5*Food- 4*Value for money - 3.5*Ambience - 5*Must have a visit❤️😋
964,"Hudson lane is paradise for foodies . This place is near to ndpl power station .This place is lit for all foodies and college students , pocket friendly and a place with good ambience and top class music to spend time with your loved ones. So the food was served hot and tasty . Moving on to the things we ordered were tiranga chaap ( achari chaap ,malai chaap and pudina ) totally soft and yummy served with pudina chutney , baked nachos with adequate quantity of cheese and beans , melting moments ( mozzarella cheese sticks deep fried ) served with two dips , chilly garlic noodles ,manchurian, spring rolls and dimsums . Everything was just perfect. In mocktails we ordered mama's sangria...read more"
965,"Been here several times, food is delicious. just this last time I visited the place was a mess food was not properly cooked and people there were not able to manage the place at all maybe because of crowd I don't know. It's good to enjoy it's rooftop specially with live music. Must visit this place and it is highly highly recommended to book the table in advance else you have to wait about an hour. They will say 30 min waiting but believe me it's an hour. Hope you enjoy :)"
966,"A really good place in north campus with a beautiful terrace seating. Really loved the interiors and the ambience of the place.Coming to food my personal favourites would be honey chilli potato, butter chicken balls, murgh malai tikka and oreo shake.Definitely visiting again and totally recommended."
967,"A really nice place with quirky interiors and good ambience. Their terrace seating is pretty decent. Coming to food my personal favourites would be honey chilli potato, butter chicken balls, red sauce pasta and dirty double shake. Definitely visiting again and totally recommended."
968,"A very nice place at famous Hudson lane.It is one of the most happening cafe of Hudson lane. You get the best crowd and food here.The best part of this cafe is Cheeze sticks.I ordered chilli potato and crispy corn which were although good in taste but the quantity of the food was not apt.The rate of the food is quite high as compared to other cafes in Hudson lane, but at the end you find that worth.Rooftop sitting of this cafe makes the best ambience for live screening and bar."
969,Ambience of this place is awesome you can chill out with friends for a perfect day or night .Food was delicious and was on timeI think it is the best cafe in gtb nagarAffordable and worth the money.
970,Just visited this place with one of my friend.Ambience was good enough to gain ur attention.Staff was quite amazing there specially the boy named aatif I guess was quite good in service.We ordered the following food items:Perri Perri chickenMelting momentsLaughing melonCollege Virgin mohitoOzzy melonDirty double shakePan fried noodles chickenChicken dimsumsPaneer 65Strawberries sparklesCoffee and tobleroneButter chicken ballsChilli chickenChocolate truffleMasala cokeIt's a huge menu right😂😂.Love to visit this place again and would definitely tell my friends to visit here.
971,The place Has a Good Seating Area .Ambience Is Really Cool .The Staff is Humble And Polite.Food :-Drums Of Heaven Butter Chicken Balls Dirty ShakeMozerella SticksChicken Dimsums All The things Were Quite Good & Would Like to Visit This Place soon ❤️
972,Visisted this gtb nagar mama’s buoi outlet. I can say good and best and better outlet for fun in gtb nagar and if you want to make your evening amazing just join it good food good taste and good staff food was made like a chef and proper filled with proper standard recipe. We will must try this again pizza were amazing.
