,The Chatter House
708,Awesome food...great service..hospitality is amazing must visit place...hukka is also a must try............................................  
709,One of really amazing place to chill and enjoi the amazing food in none other then @TheChatterhouse !! The ambience and music was good along with the service and the suggestions given by the waiter to enjoi your perfect meal !! Hope to dine again.
710,"This place is sooo welcoming! I don't know why there was so much positivity here. Ambience is way too good! Beautiful place, soulful food, perfectly loud music so the name justifies itself The ""Chatter"" House. We were entertained by this server whose name I forgot to ask but she was so sweet to us. All of them are very polite and welcoming. Coming to food - tried their Blue Cheese Naan - which was the main reason we went there and Focaccia Pav Bhaji. Firstly, the pav bhaji. It was just amazing! I loved focaccia. So soft and gooey and fresh. Bhaji was very yummy too. And their Dal Makhni Blue Cheese Naan - Naan had little pineapple pieces on them and it was a delight. Blue cheese...read more"
711,"Awesome place to sit, work on laptop, WiFi is there staff is really very educated and supporting...  Overall 200 marks in 100 please visit and enjoy the Royal hospitality "
712,"It is the best place to hangout with friends in Nehru Place. The staff is polite and well behaved and believes in fast service. The food here is uuuhhhh-maaziinnngggg..My favorite is Veg platter, Galouti Kebab, and of course Gulab jamun cheesecake.. This place is surely value for money..There is nothing that I didn't like about this place."
713,Finally got a chance to visit the multi cuisine restaurant after hearing so much about it.We relished Chicken Stroganoff & Charred Chicken which were just enough for 2 people. The cheerful staff helped us with the menu .Dimly lit cosy place though pretty quiet for a Sunday evening. Would love to go again & try more dishes.👍
714,"The food is nice, the pricing for the taste is a bit high, but for the ambiance is worth it. The service is ok, overall not a place ill like to go everyday and chill, but maybe on very rare special occasions."
715,"Been to this place couple of times now.Really like their pasta, veg kebab platter. Ambience is nice and servise is really good. Will definitely visit again."
716,THE CHATTER HOUSE 🏡 place quite interesting and well designed i was there with 4 of my friends overall experience of this place is superb we make sure come back soon thanks for staff and management 
717,"A bit late walkin, but this place turned out to be worthy of all the praises it has been gathering for so much time now. Located on the ground floor of Epicuria, Nehru Place, this place usual calls for some time of waiting as the place is majorly full. Just as you step in, goosebumps start rolling in your stomach by seeing the fooseball table on your left. You're lucky if you get a chance to play there, else just sit down and relax till your meal arrives on your table. Having a huge bar just next to your table makes you crave for more accomplices. The place is nearly done in a rustic look with bricked walls. Dim lighting, vintage look with a tinge of newness makes this place surely...read more"
718,"I always saw this place adjacent to Big Wong, thought would give it a shot this time. I'll start with the staff. Highly courteous, well mannered and polite. This actually added to the overall experience. We tried the roulette table as well, which had an assured gift. Pretty good concept. Food was a bit on the disappointing side. The tandoori chicken platter and buff steak were good, the burnt garlic soup and the burgers were not upto the mark. The home made patty for the burger was fine, but the bun tasted stale and bland. Overall, it was an evening well spent. The food might have disappointed, but the overall experience was decent enough for another visit! ps- they have a foosball...read more"
719,"This place is amazing for party with friends. Staff is supercool and very courteous. Ambience is nice and music is super awesome. Food is nice with good portion and they offered us free shots for delayed service. Keep up the good work, cheers"
720,The place is nice and quiet being a sports bar. It reminds me of How I met your mother 😊. They have well organised platter menu must try veg kebab platter and the dips are also good and tasty. 
721,Was there for quick lunch. Service was good and food was also great. Had only couple of dishes. Focaccia pao bhaji was great it's must try dish in the menu. Drinks were also good (specially mango mistake).
722,Enjoyed the place. Good food and ambience. Wide variety of starters. Friendly staff..... Value for money!!!!!! I would definitely recommend this place
723,Amazing food and drinks as usual ;) Love the ambience!! This is my third visit here and I m yet again in awe of this place.. there's something here that makes u sit here for hours.. may be it's name.  :) 
724,Amazingly perfect. I enjoyed classic Margherita and virgin mojito.  Ambience is good too. Lovely experience . Go there and try it. You'll find it good too. 
725,Was here yesterday with a friend during their happy hours... ordered a  pepperoni pizza (10inch) and fish n chips to go with our beer n cocktails (slim n sexy)... the food was pretty good and d thin crust pizza was amazing. The place has a very good feel and is apt when u want to have a quick meal with conversation. The staff was very courteous and d service was prompt.. definitely recommend a visit!
726,Excellent food and good service. We really enjoyed our dinner and would love to come again. The ambience is nice and cosy. The music is not very loud and we had no trouble in carrying on a conversation. 
727,"The ambience of the place along with the interior décor is truly wonderful , especially at night as it reminds one of life in the mountains.The food here is heavenly! On a recent visit, we had ordered the risotto, pizza and pork ribs - all were deftly executed. The decor emulates a cosy and the music adds to the ambiance. Their desserts deserve a special mention; we had the apple crumble and the chocolate cake - both were divine!"
728,"The ambiance is really good but I did not like the food they served. Went there on an invitation, the drinks were good but the food was not upto the mark."
729,The ambience and location are marvellous. Food tastes great and staff service is top notch. Would definitely try this place again.We ordered butter chicken pizza and chicken tikka platter and both were filling and tasty. 
730,Fantastic place this Victorian themed cafe is giving me major goals. Coming up with the drinks apple cinnamon is something I recommend also their adult shakes are a must try as well.The food well dahi ke kebabs were epic coming up with their signature dish dal makhni shots and blue cheese naan which was soooo good. Their dessert platter was great as well will visit this place again soon
731,Loved the food and the great ambience.. loved the experience and the service . Bijendra was great as our service will visit again. Great stuff 
732,Amazing place. Great music and really good alcohol.. special shout out to bijender for the amazing service. Loved the expression liit. Must go for everyone!
733,The food was really bad. Mimosa was super average again. The service was super slow. DJ was terrible. We had ordered something as basic as Nachos - and these guys royally screwed it up. The salsa served was essentially just chopped tomatoes with lots of ketchup!!! When we asked the chef - he said that's how they serve it. Even the Crispy Veg Platter was fairly average. I wouldn't recommend this place to anyone at all. DISAPPOINTING!!!! 👎
734,"We were really, really hungry when we got here and considering the fact that there were so many cafes around this place, we expected a lot when we chose it. The place did not disappoint at all! The flavours in the food were amazing, the staff was extremely courteous and the music is bound to help you relax. "
735,"Wonderful experience with friends and family n office buddies. Great food great ambience. We really liked their service, worth coming to this place."
736,Really good food... variety is good. We liked the ambience and the service was really on time.. We came for our office lunch and recommend this for bigger groups. Gonna love it...
737,"Really good services. Polite staff and excellent Ambience.Loved their pizzas and drinks. Had a lovely time. The music they played was amazing. Would suggest this place to everyone who wants to come and chill with their friends or relatives. Overall, an amazing experience. "
738,"Once upon a time this place used to be GEM hidden in the sea of the near by joints, but of -late their quality and the ambience has gone down. Still this remains our meeting place.  The staff is ever courteous and knowledgeable.My all time favourite remain their non veg platter and the thin crust pizzas."
739,Chat chat chat with friends and sip on your bira all the time. Simply order the chicken tikka pizza to go well with your beers and chats! Enjoy! Or call it a night with the flaming shots!
740,"Never go here. Untrained staff, probably walk bys. No courtesy. No respect for customers time. Run of the mill menu and drinks. Decor is great every where these days so even Chatter House decor has been kept to attract. Other than the decor they have nothing to show case."
741,"Have ordered food so many times from this place. It never happened that the experience for cuisine ordered was bad. Unfortunately this time when I ordered (regular for me - as I have been ordering almost same dish of chicken tikka everyday), chicken was smelly and sour in taste.. not sure what went wrong this time.."
742,"Amid a humongous number of pubs in New Delhi, The Chatter House is one of my favorites. Politeness of the staff, good quality music, an amazing bar, well organized seating arrangement and decent bar snacks are some of the many amazing attributes of this place.Though some of the items on their food menu are finger licking good, there are some that shouldn't be on the menu because of their taste.Items that I found scrumptious are: Balls on fire, keema Pao, onion rings, fish & chips, prawn star Italiano and chocolate mousse. Amritsari fish was not too bad either.Items that need serious improvement are: Potato wedges, jumbo juicy lucy burger and tandoori non-veg platter.Having said...read more"
743,"Justifies the name ""Chatter House"" as there's loud music, but calm enough for friends to chat. Great ambience, love the Plush green sofas, variety of drinks and the Tandoori NV platter. Awesome place to unwind with friends. "
744,After a meeting head to Chatter house for their happy hour drinks ....start with K.F ultra 180/ n then moved to beautiful outdoor sitting ...also had frattli white n red wine by glass 260/ each ....staff is superb specially barman n later specially Chang made my evening special by his hospitality n quick service ...as was sitting outdoor ... something fell in my wine ...he change to fresh one as not his n mgr fault as. I decided to sit outdoor ......also manager Sandeep was food ...also had Garden in bowl 240/ was very nice n health veggies..also had new launch menu item Panneer long-lata main course was good .. combination of voltage cheese n parsley..had a lovely dinner .... recommended...read more
745,"Decorum is very good. But the music is unnecessarily too loud. You don't go to such bars to dance because they have only dining. People go there to talk and hangout with some background music. So, why so loud music? Couldn't even hear the person seating next to me. So, what else we could do, we just had our drinks and food silently then came out and talk later. Indian bars should know the difference between a pub, bar and a cafe. It's frustrating when you go for some purpose and see theres all different there against the name."
746,"I have been to chatter house a couple of times with my friend. Food is quite good. Ambience as well. Would love to visit again.Drinks are a bit expensive but well for those who likes to spend 500 just for kingfisher pint, its not that bad."
747,"This place makes you feel that you are in London . The ambience 4/5 - comfortable n full of space Food 3/5 - the food was just ok !!! I won't say it was bad but , also not upto the mark . Drinks was one of the best part I would say ... We ordered hookah it was again 3/5 average. But I love the love music ... This time don't have much to say but yes it was nice experience... 😊"
748,"Really impressed by the ambience and the interiors. Food variety on offer is also impressive. Great food and portion sizes, coupled with good service too."
749,"Truly awesome place with best food and service in south delhiI was with my friends for a small party and we choose The Chatter house, its a Irish Wooden theme base restaurant with really impressive ambience.And our female friends were surprised to hear that on every Wednesday they have Ladies night and they are offering Beer, cocktails and Sangria @ 9 rupees There is a Live singer 🎸 singing nice songs along with a DJ 🎧🎼🎹 which really creates a fun atmosphere there.Store is located in lower ground floor in Epicuira Mall.We ordered bucket of Beer & the best starter named ""Blue Cheese Naan (dal makhni shots with baby naan with blue cheese and pineapple)😋, galouti kabab &...read more"
750,"Wow just wow placeI loved everything in this place Service, food was awesome We ordered Charred Chicken and House cut fries and Both were amazing And we ordered couple of Beer also.I really love the music and ambience I suggest everyone to visit the Irish English pub located in Epicuria Mall Nehru Place metro station."
751,I really liked the overall experience. Food 4.5/5Service 4/5Ambience 5/5Staff 4/5 Sitting 5/5 comfortableWe order cocktail and veg platter which was hygienic clean and tasty.Since the IPL was on peak at that time so staff was a bit busy watching match but thats ok. Keep up the good wrk
752,"Located in epicuria in Nehru Place, the place has a tranquil aura in their outdoor siting. Ordered crispy fried veg platter and mezze platter first one was palatable and mouth watering.Not a fan of mezze so can't say much about it. All in all good place to visit."
753,"After a wonderful two week trip to UK, I was still craving for some fish and chips and since this place was high on recommendations, we landed here. The ambience is nice, service slow but good and being a Friday, busy! It has a well stocked bar. We ordered Chatter Slammer and some beer and went in straight for the main course. On our table was Fish and Chips, tenderloin burger, skillet steak! The burger and steak was good but the fish chips tasted like some bengali fried fish. I asked for vinegar for the chips however just got a blank look. A dance floor with lots of people letting their hair down, great ambience made the experience enjoyable. "
754,"Nehru Place, South Delhi is the current go to destination for lip smacking food and high on night life for many. “The Chatter House” can be added to the list of happening places over there. I happen to hop into the place on a week day which was Wednesday to de-stress from the Monday blues and Tuesday madness, and to my surprise it was a “Pink Privilege Nights” exclusive ladies night with awesome drinks on the the house. On entering the place it gives a unique country side pub feel with wooden work and chandeliers. Gave a great vive and the live music was just prefect enough for me to set my mood. The singer started off with few of my favourite numbers and it didn’t ended there....read more"
755,"Chatter house is nestled away in the wonderful Epicuria. It's just next to the Dunkin Donuts.It's built like a proper English tavern, even though the.menu may confuse you. We actually had a proper dinner there, and these were my top picks:Paneer tikka masala - The main course comes accompanied with Naan's and Dal Makhani which is insane because for 2 people this would suffice by the quantityDahi ke kebab - Came as part of the Kebab platter, these were yummy Nd gooey and crispy at the same time!We also tried the Tostadas which were okay.The other kebabs were Paneer tikka, Seekh Kebab which were the usual. "
756,"Best part of this place is, had got enough space for foosball...chilled beer, good food, nice music and  service was pretty much quick.... comfortable Sitting arrangement."
757,"Been here for lunch 3 days back and enjoyed the food with lovely ambience, friendly and helpful staff. I loved the sausages with three different dips in the appetisers. The other non vegetarian things ordered for lunch was fantastic. Enjoyed the ipl while having lunch. Nice place to hang out with friends. Will be visiting soon. "
758,"Good music and decor. Decent food and drinks! The shepherd's pie is pretty good, and if you order classic margarita, expect a hefty amount of cheese on top :) Not too friendly on the pocket though!"
759,"Another great place to hang out in Epicuria, this place has a great ambience with British pub style look and feel. The food was great we ordered Non Veg and Veg platters to have some variety and I must every single dish in the platter were delicious. The happy hour menu makes this place very reasonable and one can have great time with friends at the chatter house. "
760,"I'm tickled to death to visit The Chatter House. From the word go this bar is a effervescent. Nakshita Singh was with me. So usually we didn't roam around. We had only done peroration.We patterned The Mango Mistake and Tequila Sunrise in Cocktails.The Cocktails were marvellous! 👌Then we'd tried some Burgers. We ordered The Chicken Tikka Burger and The Panner Tikka Burger.They were genuinely good! 🖒We decided to order Cafe as Burgers were quite unmanageable. We ordered Cafe Mocha and Caramel Lattè. Again, it was remarkably outstanding! 👍Now, I like to separate it's rating:-Burgers: 4.5/5Cocktail: 4.9/5Cafè: 4.9.9/5Ambience: 4.9/5Quality: 4.5/5Quantity:...read more"
761,The place bears the structure of a typical British Pub. The place is not that expensive and the Happy hour menu have drinks served at a very low price. The food is great too. The shot glasses dal makhni with naan is one of the best options to try. I also tried Pizza which was really cheesy just my type. Good news for ladies that they have a ladies night and they have a special Pink menu for them. A must try guys. Pranav Aggarwal 
762,food☆☆☆☆☆ambiance☆☆☆☆☆service☆☆☆☆☆thankingyou every team member to make my day very     special me and my friend first time visit here. but i really love this place.. thankuuuuuu... 😊😊😆
763,"A fun place, buzzing with people from all generations, Chatter House gives a very warm feel as you enter. The interiors are very much like its counterpart in Khan Market - a little dark but very lively. The staff is friendly and courteous and the DJ's beats will transport you to the 80s. The music is fun and enjoyable for everyone. Coming to the food, the taste and presentation was brilliant. There was nothing that disappointed me. Everything was perfectly cooked and served. The drinks menu has quite a lot of variety. They have at least 5 different types of sangrias only. The other cocktails sounded very interesting too. Located in Epicuria, Nehru Place, this place was packed to...read more"
764,WEDNESDAY (ladies night special)As people know the best Metro station now a days is only NEHRU PLACE METRO STATION As u can see the best cafe and bar are here to entertain you..So from all of them i visited this one top notch - place was happening.. dj and bar section was superb but somewhere if we talk abt sitting arrangements which was very badly managed.. and yes i find khan market a better option..Though i loved their Sangria and blue cheese naan with dal makhni shots..Pollo- e- pesto pizzaHerbs marinated pizza the quantity was very less but quality was good..Service was too good specially on a ladies night and even on weekends.. kuddos to the team
765,"This was my first time in The Chatter House, Nehru Place. The moment you enter you will notice big chandeliers, whichThe which gives the place a classy ambience.I visited it on Wednesday and got to know that Wednesdays are Ladies night. They have a lot of variety of wine based cocktails.Had ordered:Skinny Russian- Sparkling wine + blueberry liqueur. Also it has fresh blueberries. Loved this drink. Blushing bride- Rosé wine + vodka and filled with fresh fruits.Lamb galouti sliders- They are mini burgers, with Lamb galouti cutlet inside, which is soft and tasty.It also comes with French fries.Pollo-e-Pesto pizza was delicious with right amount of cheese. Blue cheese naan with deal...read more"
766,"7/4/17Beverages: Virgin Mojito (one of the best I have ever had), Orange Sunrise (average) Appetisers: Paneer Tikka (really good), Nachos (good)Mains: Herb Marinated Vegetarian Pizza (great toppings) "
767,"I visited the chatter house on a wednesday which is a ladies night. The ambience was great, there was live music till 10 then the dj started playing some classics. The food was good, i tried the lamb sliders and the blue cheese naan. Both of them were equally good. The cocktails were the best part about this place. If you are a wine lover, blushing bride sangria is something you should try. I also recommend the muddy water cocktail which contains vodka, baileys , vanilla icecream and chocolate sauce. "
768,"And, to my second visit to this place, Epicuria Food Mall, I went to The Chatter House this time just in right to the Flying Saucer Cafe.*Ambience 4/5The ambience of Chatter house is classy. It's not so ostentatious and has no oomph factor as such. But, the tranquility of this place will make you acclimatise yourself there so easily.The ceilings are adorned with antediluvian kind of chandeliers, dim yellow light but bright enough to have a good view of your food. Old style furniture. Everything was subtle.Though, we had a speaker just above our table. The music wasn't at all cacophonous and it was enjoyable .I found it good and soothing.*Staff/Service 3.5/5A little slow. Our food...read more"
769,Had lunch during a visit to the nehru place. The food was lovely..I had soup and pizza veg which was wonderful and the cheese cake is the tastiest I have ever eaten. Clean great tasty food and pleasant staff....Well worth a visit.
770,"Poor is an understatement about service.  here. Further if you dont know how to make hookah please dont serve it, I have to ask them 3 times to set it right, on fourth time they have the audacity to tellme that they will charge me for the same. More than once they forgot to bring back hookah back to the table and I have to remind them. Ordered onion rings with beer, it seems that they have give pouch of 1 litre oil free with onion rings literally onion rings were soaked in oil.Please be ready one of the worst experience if you are visiting this place."
771,I like chatter house but this place is very gloomy and depressing. The food is good.It is my 5th visit and I love to visit often.I like the blue cheese pizza of chatter house but what I felt they are serving the lesser quantity than the Khan market outlet.However the food is amazing and I love every time I visit there. 
772,"This place has outdoor seating as well as plush indoor seating. If the weather is nice, its better to sit outdoors. They have live music in the evening which adds to the experience.However, the best part about this place is their wood-fired oven pizza. The crust is thin and the toppings are great. Definitely give their pizza a chance and you won't be disappointed. Food served is of top-notch quality.The cocktails menu will bring a smile and they do justice to the drinks. The place is usually crowded and its advisable to make reservations before heading here.It's a great place to relax with friends and unwind, especially after a tiring day."
773,"Great ambience and service!! Totally loved all the dishes that I tried ... penne in vodka was seriously to die for, it had really subtle flavors and really nice creamy consistency. Red velvet cheesecake was pretty dope as well, it was not very sweet and had just the right texture. Apple pie on the rocks tasted heavenly!!!"
774,Amazing place! Great ambience 😸 Superb management 👍🏻One of the best hookah's and yumm food 😻Gulab jamun Cheesecake.. a must try 👌🏻Lovely to visit ✨
775,Had been in chatter house with my friends and I want to talk you guys that this is such a awesome please for drinks and food. They have brilliant team and hospitality is par with excellence.Staff attitude attract you to be there again and again.I loved the food and had great time.Thanks to chatter house team for great energy and love that offered.
776,Horrible experience. Very rude manager.The waitress failed to inform us a piece of information but the manager shouted at us for ordering. Ambience is good. Food is good.
777,Quite a good place to be with good variety of drinks and food. We order tandoori non veg platter which was really goodThe ambiance of the place is also good but they can have some more couches for extra comfort.
778,"The chatter house my first experience to the nehru place branch. It was delightful, full of joy and with full of  deliciousness. I ordered my favourite Blue cheese naan, Creamy Polata, Peanut butter shake, oreo caramel Shake, Molten chocolate cake dessert. They all were presentable awesome flavours as expected Ambience was calmGreat time😘"
779,"This vintage place with raw vibe in epicuria was selected by us to go for lunch, a fine day. The ambience is very rustic and has a european pub kinda feel to it. There are quirky posters about movies that pull your attention. There is a huge indoor area which has a foosball game you can play along with a comfy seating.We chose to be seated in the outdoor area which was really nice because the inside is kinda dark and here there was ample light. The service was fine and dishes took about 20 minutes to arrive. My colleague opted for some orange delight drink which was pink in color and didn't taste nice. He sent it back but it came back with a similar hue and taste. Later we replaced it...read more"
780,iIf you are looking for an utopian dining and chilling experience then Chatter house certainly stands second to none in being one. Come here for an exotic spectrum of cuisines.  And put an end to your amazing food ride with Gooey Chocolate cake.
781,"Chatter House is the perfect go to place for enjoying good ambience, some great food and a foot tapping soundtrack that keeps you hooked. We received complementary dessert, and The Gooey Chocolate cake is the perfect chocolate dose one can ask for. It was a very pleasant experience, and one which I thoroughly enjoyed with my friends. "
782,"I always take the bar stools and man they make some authentic drinks.However, i don't find any draught beers but bira.Would love to see hoegardeens more :)Pita hummus is food to have!"
783,Great food. Great ambience. They have a great happy price menu going on before 8 and you're sure to be happily hammered. The butter chicken pizza is quite different a great change from the usual toppings. 
784,A must must try fantabulous....drinks...cuisine are a must try....staffs cooperative....long way to go ....rock it chatter house...the food was awesome nd the drinks will roll u over wid the taste
785,Nice place good ambience! Amazing service.The waiters are very humble and are very passionate about their work. It's good to see that just places still exist. 
786,"One of the best places to indulge in North Indian cuisines! Do try the Murg Tikka Masala and Kadhai Paneer.The best part is that, along with the main course dish, you get a complimentary bowl of Dal Makhani which is freaking insane!As they say, best things in life are free! :)Do try out 'The Chatter House'..."
787,Very nice place to dine in I am here with my friends and we had a great time. They had very good selection of the food and beverage both specially service was outstanding will visit place again for try more stuff.
788,"A good place if you want to enjoy food, drinks and converse. This place is on the calmer side. Inside and outside seating available but the place isn't that spacious.Ambience - 3.5/5Food - 3.5/5Drinks - 4/5Music - 2/5"
789,"Typical resto-pub. Lots of wooden upholstery and a pub type atmosphere. Quite spacious seating spaces. The drinks were decent. Service quick (because we were the only patrons at the time). The Veg Platter had a good variety, well seasoned and quantity was good for 2 people. Good place to hang out."
790,"As the name suggests, the Ambiance is perfect for a Chatter with the Tasty Food they offer...It was a visit with my friends and we enjoyed this outing. Staff is quiet dedicated and the service is commendable. We ordered Keema Pav which was awesome,Spicy Chicken Tikka Pizza which was spicy,crispy & cheesy, Non veg Platter which i loved to the core of my heart, French Fries along with the Drinks.The presentation of the food is quiet attractive and prices are insink with the serving. Do visit this place:-)."
791,"This was my First visit at Chatter House with my friends,Nice Ambience,quality food,super service,loyal staff and Managers,Just you all guys made my day special and unpredictable.."
792,Disappointed with the music in the last two visits.Chatter House is a place known to play quality Classic rock music.But when I requested for it they flatly refused to play it saying they don't play such music which is not true because I have been to Chatter House quite a few times only for the nice Classic Rock hits they played earlier.But nowadays they stopped playing it.Hope they start again.Other than that food and ambience is awesome..
793,"My friend who is regular at this place took me for a quick bite. First we ordered mezze platter and dahi kabab. Both were perfectly cooked. Really liked their Hamas. Since my friend is a chicken lover, the other dish was chicken tikka platter and boy the smell was so awesome, I was regretting being a vegetarian. Anyways, I ordered a roasted almond Salad. It was perfectly made. Dal makhani shots are something@ which should be on everyone's order list. Full marks for presentation. Really liked their service quality. Awesome staff. Special mention for the guy ""Santosh"". Really appreciate his efforts. I will visit again for sure. No wonder why my friend is a regular over here. "
794,The service staff is very rude. The charged us the full price for some drinks when we took them in the happy hour. The manager is highly inept at handling guests. The food is good. The butter chicken pizza and peri peri chicken was nice. Even the nonveg Platter is juicy and succulent.Bad rating only because of the bad service and incorrect bill.
795,"Amazing food and cocktails. Hospitality by the staff is appreciable. On time service. I have tried  most of the dishes, they have kept the taste and quality appropriate, as per the dish. Music and ambience makes the mood refreshed-- Must go place--Cheers"
796,"Yesterday evening been there around 5:30 pm. There was very lill crowd in the restaurant. We plan to sat outside near the oven. Now we place the order of a pizza, creamy pasta and chocolate dessert.Margarita pizza - very thin crush pizza as I was expecting. The fresh Buffalo cheese seems like a moon came out form the clouds. Better then the big chill. Macaroni pasta - the pasta was very delicious and bacon's tiny cubes were made my movement.End the show's stopper the mouth melting chocolate cake finished our visit at the chatter house.Best part chef was moving around the few table for the guest suggestions shows how they are possessive and attention. Service Buddy (pam pam) very...read more"
797,Average experience.. Good vibe n ambience but food ain't worth the price charged.  Pizzas are below average.. Galauti kebab is good.. Potato skins are nice 
798,"Cozy ambiance, dynamic collection of rock music.Great place to hangout with friends specially out door sitting.Food and drinks were fabulous. Must try apple basil cooler refreshing drink. Dahi ke kebab out standing, veg pizza, bhatti ka murg and belly kulcha were very decently prepared.Final words - prices was pocket friendly, if you have a good time spend with durable budget must try this place."
799,Great drinks......bad food.....good ambience. Staff was extremely good which kind of took care of bad food......it needs lot of improvements. 
800,Been here. Loved it. Have made it a mission to visit all the restaurant chains of Chatter House. Keema Pav is my ultimate favourite of chatter house
801,"My love affair with the watermelon martini and Juicy lucy continues. Kickass Menu and that cosy outdoor seating is just lovely. I think i have tried a lot of food here and am yet to be disappointed. Now thats a place where you can just show up and know you will have a great foodie moment ( bacon lovers do try bacon wrapped mac and cheese , OINK OINK )"
802,"Not impressed. Visited the bar late at night and ordered drinks. The place was empty and we sat right opposite the bar. The beverages were poured and kept on the side to be served. Three bartenders were right next to it, but the drinks were still waiting, so were we. We ended up picking them up ourselves. Guys, please focus on service."
803,"Amazing place , great ambience , delicious food . One of my favourite places to go . Their USP is their variety and fusion food from blue cheese naan with dal makhani shots to gulabjamun cheese cake . Must try ."
804,Good food and a great experience! Galiuti kebab is a must. Keema pao please ask for spicy  they make it mild. Great experience with beer! Cheers mate!
805,"Chatter House has unfairly lost its crowd to the loud and crowded neighbours but the place is definitely worth a visit.Food: we ordered the margarita and chicken pizzas and the veg and non veg platters. The margarita pizza was really tasty with the other one giving it close competition. The platters were huge in size and we're tasty.The service was prompt and they were mindful of the situation on the table. They were not very rigid about the timings which is a good thing for owls like us.All in all, this place is worth your time and money."
806,It is a very obvious tactic that this restaurant has with their so called happy price menu on drinks until 8 pm. When I went there around 7:30 pm on friday 03-Feb-17 the server refused most of the drinks from the happy price menu like all the kingfisher draught and pint bucket deals on the pretext that they are out of stock including others drinks like old monk and smirn off as well. It was quite obvious that this happy price menu shown on zomato is just a ploy to get the customers in by showing the deals which are not even actually available. I mean if the restaurant does not want to offer them then why put them in the menu falsely and mislead customers.
807,"Quality deteriorated, not worth going. Veg pizza, risotto all tasteless. Price is too high compared to the taste of the food. It was good in earlier days"
808,This place always leaves us in awe - be it the indoor seating or the outdoor seating amidst the lush greens.We ordered a list of food items which are usual but indeed the taste of all of them was surprisingly spectacular.Spicy Chicken Tikka Pizza had a thin and crusty base loaded with cheese and red chili sauce. The chicken tikka was as perfect as the one taken hot out from the tandoor.   Fettuccine Fungi De Bosco - Homemade fettuccine tossed in white wine and lighty creamed mushroom ragout. Mummamiya !  The chunky mushroom ragout is great on everything from seared fish to pasta.French Fries are french fries but what made this french fries interesting were the 2 dips - sour...read more
809,"Took my office colleagues for a office party.Service was 10/10 prompt and speedyFood 10/10Ambience 10/10Must try blue cheeze naan, balls in fire, galouti kebab.Amazing collection of drinks.Keep up the good work!!"
810,Visited this place many times..One of my favorite place for food ..I like their ambiance as well. The staff is very friendly and quick.  I like their non veg platter and excellent thin crust pizza.
811,"not that great food . only hyped but .. dint like the staff response after complaining , i hope it improves its quality , they tried from there side , the the food needs to be improved"
812,Chatter House has a rich ambiance and is not very big of a space but it is done up very well. Located on the back side the place has an inner space plus an open space. Coming to food : Herb marinated vegetable pizza: It was a thin crust pizza full of exotic vegetables and was one great pizza. Blue cheese naan: Dal makhani shots with small naam. Overpriced and not at all worth it. Peru Peru chicken: The chicken was awesome and the salad with it was also great. Asparagus and green peas lasagna: The lasagna was worst of the food. The taste was average and the portion size was very less. Take on me: sangaria with white wine. The drink was made to perfection and is a must try here....read more
813,"Went to this place on my birthday..  The ambience is good and so is the variety of menu.. In drinks Ordered Margarita and Apple pie on the rocks..  Have to say the drinks were not up to the mark..  The apple was not caramelized and cinnamon flavor was overpowering everything...  Margarita was also so so.. In food ordered Toastadas and Spinach & Ricotta Canniloni..  Both were good in taste..  Presentation of Canniloni was not that good and looked like some average dish.. However, tasting it made our doubts go away and we enjoyed it"
814,"The Irish cocktails are pretty much the best coffee infused liqueurs that I've ever had.Food was amazing as well, value for money!"
815,Nice interiors and staff was very nice. The prices are bit on high side but food taste good. The seating is comfortable and place is calm with no loud noises. Good place to be in for having chat time with friends and family.
816,"Had a great time. Good ambience and seating, outdoor seating is also available. Great choice of drinks but not with food, very few options for food. Value for money. Good music."
817,I enjoyed the selection of vegetarian entrees they served for the lunch. Although there was a plentiful selection of meat entrees as well. Pleasant and relaxing lunch time break. Will have to try dinner sometime soon.
818,I have been here twice - one time I ordered complete  vegetarian food and other time completely non vegetarian. Beer and shakes don't go well together and both are served here.  I loved oreo chocolate shake and my friend loved the Peanut butter one. We ordered a vegetarian platter as well and it was really good. 
819,"What an admirable milieu of the Chatter House. Shakes and Smoothies are very yummy and delighted, specially the fresh Mixed Fruit Smoothies, Peanut butter and Hazelnut shake and Oreo Caramel shake. What to say about their world class Beers and Ciders 'Murphy's Irish Stout', it's a lighter and sweeter dry stout. Chatter House Shepherd's pie' it's extract lamb ragout topped with mashed potatoes it's amazing.."
820,Went to this place with friends.  Interior is nice &  service was excellent.  We had vegetarian food and found dal makhni the best. Live music made us to spend more time with few extra snacks for munching. 
821,"What makes the restaurant best is the experience they offer. We went to The Chatter house on new years eve without reservation to have a quick snack. Even though the place was fully reserved after 7pm, we were given the seat of our choice at 5.30 and were informed about the it before. Unlike other restaurants where we were thrown out. We ordered spagetti pasta in red sauce, Ratatouille Risotto, Onion rings , Tomato soup and Molten chocolate cake. The food was very tasty and the service was very fast. Molten chocolate cake is freshly baked , recommend to order it little earlier as it takes 20 minutes to come. Menu is comprehensive with wide varieties of common dishes to choose from....read more"
822,Visited this place with my friends.Interior of this place is absolutely amazing and vibrant.We order few drinks and dishes.First of all most amazing thing was Dal makhni shots with blue cheese naan.They were amazing Tostdas were crisp and good to taste.In drinks virgin mojito.Other dishes were not up to the mark.
823,"Have visited multiple times, love the beverages... London charm , food including platers and samplers .... It's a cool place and fun experience"
824,kudoos to the  place excellent food...................................................................................................................................................................credit goes to staff
