,Antidot Waterbar Cafe
391,"Hello Everyone!!! This Time I have visited Antidot Waterbar Cafe along with my Friend for a Lunch!!! I heard alot about this place that Food is so delicious in Antidot and Superior service and Ambience!! So we thought we should Try Antidot❤️ first of all I highly appreciate the Service and Ambience of this place🔥🍽️ Coming to main business, I tried these dishes and drinks and I'll rate them on the scale of 5.Spinach and Corn Dim Sum - Stuffed spinach and Corn -- It was soo crispy and amazing quality of corns-5/5Chicken Kothe - it was Juicy Chicken Filling -5/5Butter chicken-5/5(Accurate Taste)Chilli Pepper fry chicken - Pepper Fry Chicken With Malabar ParanthaVirjin...read more"
392,"The ambience is really nice and it has rooftop area as well. The staff there was nice and cooperative.They have launched new flavoured beer cocktails which tasted really amazing plus food there was nice... and service was very nice n quickly..,,"
393,Recently encountered this place by Zomato search and guess what I totally adored the place! A perfect place if you are looking for a nice and comfortable dinner in a rooftop. Striking ambience and their drinks are really amazing. So my friend and I was searching a place for dinner and suddenly saw some pretty looking cocktail pictures on Zomato and then we decided to try this place. Amazing hospitality and their staff are so helpful in making you choose your favorite meal or drink. So we had some of their crafted cocktails and they really did justice to us. Their food is also good however the quantity is little less as compared to other places but I think their ambience made it work...read more
394,"Red Wine Sangria: You know the Sangria is bomb when Jacob’s Creek is used in preparing it. The right balance of sweetness, bitterness and dryness – lo and behold, you have the perfect red wine Sangria. Roasted garlic chicken dimsums: Sometimes, we do crave our dim sum filling to be flavourful and the chefs at Antidot have taken care of this aspect. The lovely smoky taste of roasted garlic in the finely pulverised chicken mince gives a different experience. Not to forget the crystal skin."
395,It’s an okay place. Kind of congested. The service was really bad and so was the food. The drinks were okay. The cocktails seemed to have been designed which was good aesthetically. 
396,A nice place to chit chat with friends across a couple of cocktails or dinner. The terrace is really nice and the hand crafted cocktails are a must if you happen to visit. Cheers! 
397,"Sundowner & Beer Cocktail Launch And the event done by @blot_canvas 😁It was great event. The place is amazing. There is live singing in the premises. Its makes a perfect ambiance to chill with your friends, serving sheesha also. They have varieties of drinks. Beer lovers should definitely try fir cocktails. Guys, its a must visit place. 😍..I had few drinks & food, swipe left👈 to check it out1) Melon Beer: mixed with lemon juice and beer🍺2) Anti-Apple Beer: Mix of apple juice, few chuncks of Apple & Beer 🍻Had one more beer cocktail which was Strawberry Beer.3) The Mix meat- Its a nonveg pizza topped with Mutton Keema Bolongnese Sauce, Cheese, Chicken Tikka, Red Bell...read more"
398,"Was here on a monday night.The place was still lively and live singing was ongoing.The terrace is beautiful.The food was more on the average side.The prices of alcohol are are very much on the better side.The biggest and only drawback was the service.It is too slowAnd you have to ask for minimum 2-3 times specially for drinks which are not served for minimum 20 minutes.If only they work on their service , it will be one of the finest places of its kind."
399,"Roof Top Love!!!!!!!Whenever i plan a dinner date i prefer either pool side or roof top dinning places so this time i went to this beautiful roof top cafe antidot water bar.Best part about this place is their roof top sitting space facing beautiful lush green deer park nearest metro station is Green Park. This place is multi storeyed out of which terrace is the most scenic of all.Lets talk about ambience interiors of this place are dark and magically lit with cozy corners. It has this amazing wall decor so artsy with wood trimmings and touches of green. Good soulful music, drinks, sheesha and soul satisfying food.We ordered pizza chicken pizza, nachos, pasta, chettinad chicken...read more"
400,Went to their rooftop and the inside bar area. The managers and everyone are pretty rude. The waiting staff is okay but not the best. The food is average. They weren't listening to us asking to remove the service charge when we didn't like the service. Also they sat us in an area which had a private party booking and kept telling us every five minutes. Really bad management for a new place. Won't be back anytime soon.Ambiance 4/5Food 3/5Service Staff 3/5Management 1/5
401,"The cafe or the pub or the restaurant is situated aptly above the wine & beer shop which is a best location any pub can have! So if your not satiated enough with the drinks you have the best option available downstairs!The place is divided into three floors which contains a terrace and is the most scenic of the all the three. The walls have been done up with painted murals that act as the focal points where people can click selfies!Four of us ventured to have a good time on Sunday evening over beer & snacks as we had heard about the place. However, the shocking part was that only beer cocktails were being served and I had to choose Beer bomb which comprised of beer mixed with about 30...read more"
402,I have been to this place with few of my friend on a Sunday evening. Though their summer beer Cocktail are pretty good at the same time service has been a constraint. I tried Beer Bomb which was amazing. The draught beer with the jagermister shot was a nice combination. I tried this with the wheat beer and it was awesome.Service was pretty slow and food was not delivered on time. So no comments on the food as haven't got a chance to eat here.
403,"Antidot is one of the most iconic places I have been to. Antidot waterbar is definitely unique because of their unique ambience, food servings and more.Ambience-5/5Spread on 2 floors. The interiors are dark lit with edgy detailing. We planned to sit outdoors on the terrace where the view and the vibe was phenomenal. The ambience was so beautiful that we never wanted to leave the place. It’s the best during the sunset when you can observe the dramatic sky right on top of you while sipping into your favorite drink.Food- 5/5The presentation of food and the taste were totally great. Ordered pizza and some starters. The flavors were really nice and the food presentation was mind...read more"
404,This place is cool with nice ambience and good music. We went there on beer carnival and quite loved it. The ambience is really nice and it has rooftop area as well. The staff there was nice and cooperative.They have launched new flavoured beer cocktails which tasted really amazing plus food there was nice. 
405,"If you are looking for some cool beers and some cool environment then this is your place as this place is Soo calm and beautiful. As you can enjoy with your family, friends and girlfriend or boyfriend. They serve hookah as well and they are having some crazy flavoured beers and my favourites are Beer Bomb and Apple Beer. Food is also good as I had chicken and veg pizza and chicken skewers only which were pretty good in taste.As there are live music also at night.Ambience: 4.5/5Music: 4.5/5Food & drinks: 4.5/5"
406,"Food is good.. Service is very good. Staff is courteous and helpful.Then why 3.1. Approach to the place.. dingy dark and construction in the building is incomplete with the lift that is installed not giving a sturdy feel. (No certification of inspection either)2. It was advertised as First ""WaterBar"". Have no clue wat that means. Nor was it pronounced anywhere on menu. Its a run of the mill menu with some nice cocktail names and mixes.3. Nasi gorengs veg version shelled out was more like a wok fried rice from chainese van.4. Since we took 1plus1 IMFL hapy hours.. most of the bar menu was not available for us. When we settled on wine.. only fratelli no grover was...read more"
407,The place is nice. Food is equally good. We ordered biryani and some flavoured beers. Service is quite nice and decent courteous staff. Overall enjoyed the evening at this waterbar cafe. Try this place if u are near this are.
408,The collection of beer is amazing. I dont drink beer but the beer cocktails were my favourite. I enjoyed the music. The rooftop is killer to be in winters. Finger foods are good too..
409,"Nice place with a good music, atmosphere, food.Good options for hookah lovers. Services are also goodeveryone should try once to hangout here. This place is best for hookah and beer lovers. There is lots of variety of beer like draught beer, beer bomb, strawbery beer, Apple beer, orange beer, blueberry beer and watermelon beer which are extremly good in taste. They have 3 floor to do party n all. Extremely good place to do party with friends. Snacks are also well cooked and damn tasty in taste. Highly Energetic atmosphere.A very nice place which is strongly recommended! Try the sheesha and beer too!"
410,"Good food. Really liked the nachos, spicy noodles and the puff pastry.. the cocktails were also nice and fancy. The staff is quite friendly. All in all a good experience. Seating could have been more comfortable though. the chunks in the flavoured beers should have been bigger.. didn’t enjoy the small pieces at all"
411,"You should visit this cafe for some amazing different flavours of beer. You’d definitely wanna go their for their tempting cocktail beers. 1. Tried their blueberry beer 2. Apple beer 3. Beer bomb Loved all the three beers. It also has a unique waterbar theme on the rooftop. My first visit to this place have been really great. From food, to their drinks , to their courteous staff everything was mind blowing. The live music was too good and the crowd was pretty decent. "
412,"So antidot the waterbar cafe has come up with new beer Cocktails which are pretty amazing 😍Loved their new variety and new beer Cocktail menu 🔥Must try their : orange beer, melon beer , blueberry beer 😍Had great time!!!Ambiance is amazingRecommended for small get togethers bday parties 😋Night ambiance is superbWill visit again super soon"
413,"Had a great time at Antidot Beer carnival with loads of flavoured beer,snacks and soulful live music.The place is really very well decorated and has a stunning visual appeal.Ambience is amazing and the interiors are eye catchy with decor done all over the area.Its a must recommend for everyone who loves good food with great ambiance"
414,"In love with this care, we had loads of beer and snacks and they were heavenly. Ambience and music is too good. Clicked many pictures and my fav is that graffiti. Service is also good. All over it is a perfect place. #twistylifestyle #foodbloggerGeetika Gupta Aka Nomadic_travelerrr "
415,"Great placePlace is really goodFood is also awesome😘😘The staff is working pretty hard to make it a perfect evening for you. Make sure you have a reservation at the rooftop. Great ambience and live music really amazing.....Loved their cocktails, hummus platter and pizzas. Check out this Amazing place 😘😘😘😘"
416,"Anitdot is really a cool place to hangout with your friends. It has this amazing wall decor so artsy with wood trimmings and touches of green. They have a global cuisine menu with everything from Mexico to continental to Chinese to Indian. I sampled so many wonderful appetizers and mains and I found some that became my favorites. They were the Chicken canapes, Roasted Garlic Chicken Dimsums presented in this fabulous three layer Dimsums basket with a home made dipping sauce, the chicken straganoff and of course the fish in lemon butter sauce. This place is a must visit in the day a cafe and in the night a club! Do check out the terrace, it's one of a kind."
417,Well it was a group party at this place One thing i would like to say is that if you are a foodie then anything you demand is here Fabulous and innovative drinks Fantastic hookah Delicious food Some dishes were so good and i would like to recommend chicken canapes to everyone and roasted garlic chicken dimsum Grilled fish with lemon butter souce was so great In drinks one must try the lost ocean 
418,"Antidot bistro is situated in safdarjung , delhi . The spot is multi-storeyed . Each floor has its uniqueness. I adored its terrace . It is a wonderful one. On the off chance that you go amid the nightfall time it is the ideal planning . You will appreciate the night much more . We had several things like chilly paneer , mini than normal pizzas , chicken canopies and some cheddar balls . Adored the crisp paneer it was impeccably made , it was so great . Pizzas have dependably been my most loved and these smaller than normal pizza were so adorable and heavenly. The chicken canopies were light and great . Likewise, pushing ahead on to the beverages i'll be disclosing to you my undisputed...read more"
419,Antidot is a very pretty cafe with rooftop I went there with my friends. The live music was amazing and they were serving flavoured beer with different different flavours like watermelon orange and blue berry . They were serving small pizzas and little to Sacks it was enough to fill your tummy with flavoured beer and I will recommend this place is so cool and pretty.
420,"Visited Antidot yesterday ! A very chill crowd was there ! The music was very nice and i love the terrace specially ! Nice atmosphere and service is also good ! You can enjoy here with your siblings , friends and your loved one"
421,"Sundowner and beer carnival🍻🍻 Location @antidotcafewaterbar The wait is finally over. 🤗🤗Excited to be a part of the launch of beer and at AntidotThis place with very nice food and was real crowded with young couples. Comfortable seats with well mannered staff indeed.And What a beautiful terrace they have and such good soulful live of music 🔥👌☺️This is the perfect place to enjoy the evenings with some great food, drinks, Shisha, music.🤗A perfect place to spend time with your friends.Thankyou @antidotcafewaterbar For having me🤗Must go and check out flavours of new beer🍻🍻🍻🍻 launch #blueberrybeer #melonbeer #applebeer #orangebeer #beerbomb...read more"
422,"This is a nicely done place with good decor and ambience.. staff is good too.. but their food is not upto the mark.. the taste needs to be improved and quality of ingredients also needs to be worked up. We ordered their nachos which were decent, apart from that spicy basil prawn dimsums were below average and chicken kebabs absolutely hopeless.. the tikkas had no taste and the kebabs were not even edible.Guys ! Please work on your food, would love to visit again if your food quality improves!"
423,"This place is awesome. It has a lovely terrace, peppy music, sumptious food that is also a visual treat and perfectly-made cocktails. Antidot just might be my new haunt in town. I visited it on a Saturday evening and the hospitality was amazing. A special thank you to Mr. Manish, the manager, who made us feel welcome and constantly checked on the table to make sure everything was perfect. The food and drinks we tried were his recommendations and everything was a big hit on the taste factor. So, we tried the Piña colada and a watermelon punch which were perfectly made and served in fruit shells and provided much-needeed relief from the Delhi heat. We also tried their fruit-flavoured beers...read more"
424,"Went out for a Saturday eve here, the crowd was decent. Not so great. Sheesha was a 6/10. Tried Kala Khatta LIIT, which was an absolute disaster, say a 3/10. Fruit bull on the other hand is pretty decent, I’d say an 8/10. You could head out for a good weather eve here for their terrace with a bunch of friends, I’d not suggest this place for a date though. The service was pretty decent, the staff was fairly courteous. "
425,"So this place is amazingly beautiful, and they are one of those few places who actually know how to make good mocktails.In frame: Spicy and Virgin Mary, Mushroom Sliders, and Galauti Kabab rolls. The entire range of food is good and the staff is very courteous, which makes it a perfect date spot."
426,A great lookout for South delhi. This cafe has both indoor and outdoor seating. A comfy place to have your perfect date. Do try mini cheese stuffed kababs.
427,"It’s like a neighbourhood bar but a very good one at it, reasonably priced, they’ve rooftop which gives a view of residential area which was a slight turn off , really liked the seating 💺 arrangements, mist sprinkler was a very nice idea 💡 in the blazing heat , service was good "
428,"I discovered this gem of a place while browsing through Zomato for a place to enjoy good food and great ambience with friends.The place is situated in Safdarjung, far from the crowded lanes of Hauz Khas but it will give you the same experience. The bar has a water themed decor which gives it a fresh feeling. You can either sit indoors or on the rooftop, from where you get an amazing view.My friends and I ordered a lot of food and everything was perfect. Special mention for their Mac and cheese, do give it a try."
429,So there promotional post on so delhi and decided to visit and they have genuinely done a great job in order to serve there customers . They have a very good style of presenting food to customer which I loved the most. Thumbs up for them.
430,This is a wonderful place with fabulous ambiance. The staff services are quite good. I loved the food. Paneer makhani and kitkat shake stole our heart. A must visit cafe with terrace. Must try.
431,Visit this place with my friends last Wednesday.This place is really cool with the great ambience n their rooftop sitting with good view as well as their lips smacking food n their service is prompt or staff is very attentive.Love to visit this place again.
432,"This Place is best for the dating and having drinks with your partner.Soothing music with well mannered staff. Ambience with all the uniqueness of dishes in menu card to choose from.Give it a try, you will never regret.Cheers guys...Param Rubal Jp "
433,"Visited this place with a group of friends on a Saturday night. The place is spread across 3 floors, one of which is the rooftop where we were seated. The rooftop is well developed, has great seating for larger gatherings as well, Beautiful bar and IPL screening. We ordered- Chicken tikka pizza- was average Mirchi platter- this had 4 kebabs that had a centre of cheese. 2 fried pakoras, some moth and a gravy. The kebabs were absolutely delicious. Chilly chicken- was good Mezze platter- it has pita and hummus and 2 other kinds of dips with wafers. This tasted good as well. Cheese fries- French fries with cheese on them, these tastes a little bland. Nachos- these were fairly good and...read more"
434,Nice place situated with unique waterbar theme..Amazing kababs.. one must try these.. flavours are very nice.. manager n whole staff was really gud while suggesting you food according to ur taste buds.. loved the place 
435,"Went here with my friends for the second or third time, but sadly the quality has degraded a lot in the last 2 months only.You don't really expect this from a newly opened place.Anyhow, the place has totally lost it's charm for me.Would not recommend it ahead."
436,Amazing experience and a big shout out for such aesthetically beautiful drinks. One is happy just by looking at them. Plus the food is also great (and offcourse beautiful). Keep it up
437,"Nice and friendly staff, quick service, huka with live band and chilling atmosphere, nice place to have fun with friends, we enjoyed our friend bachelor party there and its worth "
438,"So yumm food and pleasant atmosphere, best to date and chill with friends too .. , open sittings and live band with huka.. so nice place to chill"
439,"Antidot waterbar is one of the most amazing place I have visited so far ! Ambience in addition the rooftop bar is next level ! Carried away by their cocktails and mocktails , food is super delicious be it Indian or Continental ; Everything is a must try here ! Staff is very friendly and cordial and the service was way quicker I felt. Kudos to the Antidot team and their superb managers ! "
440,Awesome place. Excellent service and Manish made sure we had a wonderful time. This place is highly recommended. Food quality is great. Will definitely visit again.
441,"Was here with my friends yesterday nite . Antidot got an amazingly beautiful rooftop. Chill place with nice music . Ambiance will really give you good vibes. Talking about food they have good varieties of cuisine. Friendly staff, great service. Best wishes to Antidot "
442,I use to come this place i really like the place  Mouthwatering  food awesome ambience Amazing rooftop in town Friendly staff And cooperative manager...
443,Best place to hangout with friend amazing food and ambience courteous staffFabulous service..Highly recommendedLovely place ...Best place to chilling ...
444,We can surely say this is a best party place yet even on a Monday night too ! The food we ordered was scrumptious and drinks are amazing! The service was professional and quick ! Ambience here is amazing too adding to the flavour is their staff who are so friendly and felt like home I arrived here with my friends.Would recommend to visit with friends as I will quote this as place as THE BEST ! 
445,Was searching for a chill out place to enjoy the summer and found this amazing Place ANTIDOT. Really they have a beautiful rooftop best part they have a Waterbar concept and it looks amazing. Apart from it they got good signature cocktails. Yummy food. Love love love to ANTIDOT 
446,ambiance 5/5food 5/5staff 5/5music 5/5service 5/5inshort  best place i have in my list.beautiful terrace with water sprinklers must visit 
447,Best place for hangout with friend amazing ambience. Lovely food highly recommended... Best terrace in town with Waterbar concept it's really work in summer...... 
448,Have been here a couple of times and glued to this place now. Fantastic food and service. The staff is super cordial and quick. Must visit ❤️❤️
449,Superb ambience and mouth watering dishes. Came here on a Monday night and couldn't be impressed more. Amazing service. Their fat Indian plate is a must try. Terrace seating soothing music. Loved it.
450,"Where do I begin really???So, four of us were here on a Sunday evening, venturing into a new place with expectations. We decided to sit on the first floor since a dust storm and subsequent rains drenched the outdoor seating area.First impression, too dark. The upholstery was dark green and the lights were very minimal, so much so that it was difficult to even read the menu. They had empty champagne bottle as decoration without even removing the labels, I mean why???For a while, I felt like I might have been in a bar somewhere in a shady place, maybe Paharganj (don't fret, its just an assumption).The music is loud and there was a live artist who seemed to be in his 20s but I think...read more"
451,"Amazing place , yummy food,Friendly staff,Ambiance is just wow, Valet parking , live music , open rooftop. This place is a package for everything you want chill n enjoy with your family n friends. Best of luck to Antidot."
452,"This cafe located in Safdarjung is a really cool place to go and chill. Be it the ambiance, the music or the food, it doesn't disappoint you. The rooftop decor is done really well and you get amazing vibes while at this place. The menu has items to please the taste buds of vegetarians as well as non-vegetarians. Do try their Chicken Tikka, White Sauce Pasta and the wide variety of delectable mocktails.Cheers!"
453,Great terrace- more space after renovation. They have a decent screen on the roof. This cafe is a good choice for a game night with some kebabs and hookah.
454,"Antidot Waterbar Cafe is an amazing Bar Located in Safdarjung.The Ambience of this Place is soo Beautiful and place is soo Soothing and Cozy. Their Rooftop is soo amazing and even at the time of Sunset the View is soo scenic.The Services are soo Good as they Get our Order ready in as Early as they can and they assist us in soo Professional Way.The Food I had here is soo Good in terms both Taste and in Presentation as well.I had Cottage Cheese Stroganoff, Chilly Paneer, Classic Nachos and Veg Thai Curry.Everything is Perfect as Flavours are soo authentic and it tastes really well.Perfect Place for Outings and Parties"
455,It is good placeto dine have a taste of Variety of food i had chicken chettinad which was cooked really good also i had chicken tikka and salad the chef was very good at his work the staff was already ready to serve you and help in choosing the best food that you should try over here the auro was really fantastic had good time must visit
456,Not a great place .food was pathetic . Went by zomato review but was disappointed. Completely waste of Sunday afternoon with family. My advise NO NO
457,Was hangout to new delhi with family and searching for good restaurant with good food. Finally got this cafe with rooftop dinning. I really impressed with this cafe which not only having good ambience but also serving good food. I tried north indian food and beverages which was outstanding.Appreciate with service. It was an amazing experience having dinner at rooftop.👍Food-5/5Service-5/5Ambience-5/5
458,Antidot Waterbar Cafe is one of the best place to chill out with friends and family as well. Visited this place with friend and in love with this place. Lovely Ambiance! Tasty Food!We ordered :-StraganoffAmritsari KulchaMini chesse stuffed kebab.The kulcha were superb and also soft. The kebab were mouth watering.The staff is really attentive to their customers.Rating 5/5Food 5/5Quality 5/5Quantity 5/5Ambiance 5/5All foodie lovers should try this place. 
459,Nice ambiance...good food especially veg items...non veg was not so good.... courteous staff...good service provided by anveer...had a great time
460,"After hearing heaps of praises about this place on social media as well as friends I decided to visit this place with my friends. We used Dineout scheme! The place has got an amazing vibe with some great music being played in the background! The cafe is quite spacious with seating both inside as well as outside! When it comes to drinks we had ordered quite a few like sangria, cosmopolitan, whiskey sour, cold coffee etc. Every drink was excellent and tasted perfect. We also ordered food namely nachos, fish and piri piri chicken supreme. The portion served of chicken and fish was way too less considering the money they are charging for this dish. We felt the food wasn’t value for money!...read more"
461,"Ambience , food , service everything is on point. Food’s quality and quantity both are up to the mark. This place serves sheesha’s too which are smooth and lasts quite long. The rooftop is a place you must visit in the evenings for a great view and crowd."
462,This place is perfect for a romantic evening with your special someone. It has a mini terrace to the main terrace with just 4-5 tables and it’s perfect for a quite couple time. There was live music which was just amazing and candle lights were cherry on the top. The main terrace is a nice place to hang out with your gang. Menu is pretty common and food is also good. Liquor variety is nice. Staff is extremely sweet. Service was fast. The place is stretched on 3-4 floors so there is no issue of getting a table. I loved the place. Kudos! 
463,Great food ! Great ambience..and service is also very good . A must visit place .  Try different dishes and drinks .. top floor sitting is greatt 
464,Amazing place and excellent food.. loved the ambience and outdoor sitting is also amazing. Also all the services are very good. I will surely revisit this place.
465,The place was amazing. Especially their terrace sitting. Fell in love with the place as the food and drinks were top notch as well. Will definately recommend this place.
466,"Just wanted to confirm if you serve halal food or not ?If yes, please support with the certificate.Looking forward to visiting your restaurant again"
467,"So went der for weekend brunch...lovely place to sit and chat with frnz...though a little pricey but must have experience.food was great,waiters were polite,ambience was fabulous.overall it was great experience "
468,Its the place where you can enjoy bar things with open space and there are no restriction that much. I recommend this place..#pasta #food #foodporn #foodie #instafood #italianfood #pizza #yummy #dinner #foodphotography #foodblogger #delicious #lunch #instagood #italy #italian #love #foodstagram #foodlover #like #homemade #spaghetti #cooking #cheese #n #restaurant #chef #healthyfood #italia #noshfermaaye
469,The place is amazing the ambiance is greatThe service provided by anveer singh was greatFood was also amazing wontons are a must try.Do vist.
470,A Lovely evening with a disappointing end!The staff and service is good. The food is great. Drinks are just like any other place. They serve Sheesha as well. The terrace has a nice vibe. We were having a great evening untill.....We had already asked for our bill when a bouncer (Dinesh) came up to our table and asked us if we wanted to order anything else. The tone and tenor was more like 'finish your things and leave'. I would've understood this if we were creating any scene or were loud and disturbing other guests. I was sitting with my wife and another friend and peacefully that too. We were waiting for our bill!Anyway the manager (Mayank) was called and though he was all...read more
471,Lovely ambience! Tasty food! Soothing music! Courteous staff! What else is required when you want to have a peaceful dinner ! Good place to have a candle light dinner. Also nice to chill with friends!
472,"I recently visited here with my friends and had fun. We had pasta, pizza, nachos, few drinks and brownie. Everything was great in taste. Staff was quiet poliet and cooperative. Great ambience as we sat on terrace. "
473,Had an amazing Saturday night. Highly appreciate the services offered by Mr. Puneet. It was indeed delightful 😍 will definitely visit again
474,We visited this place on a Friday evening and it is a must visit.The staff is simply amazing they will not only welcome you with a warm smile but will also help you choose a good dish. so on Puneet's suggestion we order the dish 🦐prawns risotto which was simply yummm.Next we ordered 🍗Juicy chicken which were perfectly cooked and great in taste...lastly we ordered 🍧Bailey's berryI would give this place a ⭐️10/10 on every aspect.We already have our dishes decided for the next visit....
475,"Lovely ambience, awesome food, the area is a level up for this kind of lounges. Talk about the servicing staff. They are incredible, polite and customer centric"
476,The best food! The best shisha. Loved the vibe.. loved the crowd. Amazing music. Super friendly staff. Thanks for such an amazing experience. My taste buds felt rich♡ yum yum in my tum tum literally! 
477,Very bad service. Extremely disrespectful and uncooperative manager and staff. Not recommended at all. Very disappointed. The service was very slow and not well read. 
478,Its a good place....had a fantastic time...umesh is  a very courteous ..:: will surely visit again :: a must visit place for all .. not to be missed...................
479,"Pasta is the best dish over here, beautiful ambience and amazing lights best time to visit after sunset UMESH sir has given us the best service. Do try red sauce pasta "
480,Amazing place with amazing food. Loved the ambience and the hospitality. Puneet Singh in particular was very courteous and made sure we had a great experience. Will definitely recommend this place to other friends. 
481,Good place. Excellent service.. polite staff esp Puneet who was our attaché for the evening. Food and drinks amazing to add on to the ambience
482,Don’t go by the reviews or the ratings.The place is extremely average with very average food and straight drinks only.It gives you the option of a rooftop but with music that barely makes staying there bare able.Visit if you have nothing else to choose and have money to waste.
483,Mr. tek Singh here took good care of usAmazing terrace Good prices Nice ambience Great crowd And  nice locationWe can really visit here anytime soon and really recommend this place 
484,Good service and food quality is very good I love this place & thanks to jagveer (captain) and mr mayank (restaurant manager) both client handling skills are very good ....very happy 
485,Very nice ambience and food..❤️cafe’s staff is too good 🤘🏻🤘🏻especially Umesh..thumbsup👍🏻👍🏻🤘🏻my recommendation visit antidote waterbar for sure🍻
486,"Nice place, the service was really good, the ambience with live music put us in a nice Sunday chill mode, food was good too! Special mention to our server Tek Singh! "
487,"The food was good ,should try the mini mezze and Mac n cheese ,excellent ambience especially the terrace,Shrestha was pretty amazing great service by tek Singh"
488,"Jagbeer, thanks for your service. it was a great experience with amazing ambience which tossed us with delicious food. a perfect sunday evening."
489,"So Much To Describe About This Beautiful Yet Classy Avenue For Party Lovers (including me😋) ! •FOOD :- Super Scrumptious(whatever I tried) ; must mention to try Chicken Chettinad With Malabar Paratha , Mutton Biryani and Chilly Fritto Misto Kebabs(veg lovers). •DRINKS :- Don’t forget to try their amazing Cocktails and Mocktails ( I liked Fruit Punch to be honest and Hazelnut Cold Coffee). •STAFF :- All I can say is everyone here I came across are super talented ; their immense hardwork gets reflected and Competence shines throughout. I am bowled over by their level of enthusiasm to serve , work and their Innate humility. •FRIENDLINESS :- The Best Part is if you don’t...read more"
490,"It’s a really good place to visit with with friends and really good view at evening, you should come with friends, and Saturday night is also awesome food is delicious- anveer panwar really good staff"
491,"Amazing food and great service. Would like to really appreciate Tek Singh, his service was really good! This place would be the place to be in Delhi in the coming future!"
492,Completely in love with this place Amazing atmosphere Energetic Tremendous crowd Best party place ❤️❤️❤️❤️Food : 5/5 Service: 5/5 Ambience: 6/5 
493,"The staff is very polite. We were served by Anveer, ask him for best hookah and he will actually serve you thr best one. The music is amazing. Five stars to this place z would definitely visit this place again. "
494,Highly recommended excellent place awesome food and ambience prompt service by jagveer . I had paneer lababdar and chilly fristto misto kabab which mouth melting and fingerlicious.... Love to visit again 
495,"Amazing ambience , great food , good service. Over all it was an amazing experience. The music was good and slow as we wanted not that loud. "
496,"Great ambience. Anveer Panwar did fantastic job in serving, making us choose our snacks. Hookah was also amazing. It is a visit place. Rooftop is good. "
497,Great food. Good ambience. Awesome service by Anveer Panwar. Rooftop is well made. At night it looks great. Good selection of drinks as well.
498,Perfect place for rooftop! Love the food and service.  Sahil guided me the best for food and mocktails. Thr view is awesome from the roof. Loved it
499,"Nice food, nice ambience. Very friendly servers, especially Puneet ji and Tek Singh ji. Had fun. Nice brownie. Love the blue setting. Thank you. :)"
500,"The service by Puneet and Tek Singh was exceptional. The drinks were aesthetically very pleasing, and good on the palate as well. The ambience also had a great vibe. "
501,Extremely nice. The bill was perfect to what we took. All the best for the future of this place. Punnet was the one who served us and it was really nice of him. Tables were cleared from time to time and things came at the right time after ordering. 
502,"First of all service was very poor, their waiters didn't know a thing about anything about service and the food which is being served. Even though it is a water bar but that water theme is only on their top floor. I went there only to see it but got disappointed when I found out that it's full and i have to sit in that average theme. Food is not so good few things are mediocre but rest is just below average and not taste satisfying."
503,"Hey hi to all ,i have vistited dis place 2tyms ,firstly a aweek ago nd 2nd tym yesterday Yesterday it was my b’day so i decided to visited dis place wid my wife nd best mate nd surely my decision is gud Its a lovely place in safdargunj nd i suggest all to visit it once ,they have 3 floors i think every floor has a new concept nd different ambeince but rooftop is best nd they have spl area on top of rooftop they called it loving boot which is best for a romantic date or couple ,its feeling its fab ,dim lights a small candle on table open sky u see many aeroplanes going here nd there ,stars nd seren nd peaceful perfect to spend quality nd loving tym wid ur wife ,girl friend or loved...read more"
504,"Great ambience , delicious food , amazing service the music was amazing and so were the hookahs, Tek singh rana provided us with excellent service and I had a great time. Looking forward to another review"
505,Fabulous foodLovely placeBest place for live musicService# food# music#ambience#view#Drinks#every thing was perfectLove the place👍#tek Singh.
506,Amazing place amazing food best drinks ever had . Must visit place . Ashish panwar was the best person here amazing hospitality . Recommended to everyone 😊👍
507,"A chance walk in on a weekday is all it took to find an incredible go-to for parties and chill drinking nights. An all round bar, they have great food. Wonderful cocktails. And a live night for every day and every genre. Even better are the managers and the owners. Personal attention to Every. Single. Customer. Thats unheard of when you’re regulars at Auro or Summerhouse. Best of all is Nitish. Wish I could date him. "
508,"Amazing place good ambience. Tek Singh took really good care of us. The deer park is nearby , the terrace is just perfect. The food was delicious and the place is very cosy."
509,"Good food, great rooftop ambience and wonderful service thanks to Anveer Singh and the rest of the staff who catered all our needs with care and diligence."
510,Excellent food and great services and beautiful ambience The person who was serving was Umesh Kumar who has served us really Highly recommended 
511,"Really nice views, food is delicious, good place , really enjoyed -ashish panwar good staff also, such a good view, and lovely place to visit with friends "
512,"Food was awesome. Ambience was ok. Umesh bhaiya was too good at servicing. Best place must visit.Kebabs were amazing, pizza was super awesome and pasta was too yum😍"
513,Great food specially srilankan chicken curry . must try rose sangria and 🍎 liit. Service was prompt and carring by Ashish thx for making a memorable dinning...... 
514,"Loved the place and food, especially the service by Mr Anveer Singh. Food and service was top notch. Definitely a recommendation. Do come here and have a good time. "
515,"After seeing all the promos and sponsored ads, I planned for a date at this place.Already booking on zomato, along with double conformation with the staff didn't get me the exact place which I wanted.Also the place which I got did not have a proper light connection.Talking about the staff , they are humble as other cafes.Food was also average and not so awesome .P.s. Quite hype promotion , not fully satisfactory."
