,TOS - Take Off Scarlet
1412,Awesome yummy tasty food for food lovers.... nice place & sitting available ... nice place for dine out with family and friends...I loved this place...
1413,"Went out for casual dine out ended out to be one of personal favourites in Punjabi bagh.Ordered peri peri chicken popcorn which were amazing crispy and full of flavours Chicken drums were also greatTandoori chicken pizza was super delicious with great flavoursA total paisa vasool,must visit."
1414,"If you are in, Punjabi Bagh, you just know you have to visit Take off scarlett. To be honest, Take of scarlet has the finest ambeince and the food is fingerlicking good. The whole atmosphere is lit up by wonderful music and dim lighting which can set the mood for every evening. The starters are delicious and main course is heart warming. The place is a delight for both non-vegetarians and vegetarians. Mac and cheese , fish and chips ,margereitha pizza are the main attraction along with filling dishes of chicken and mutton. The shakes are a must try and desserts are perfect. So next time you are in Punjabi Bagh ,dont forget to visit take off scarlett."
1415,This is one of the best lounges situated at the Punjabi bagh club road.A perfect 5/5 place for hosting in house party with a large group.You can book your private area in case of Birthday or Kitty Parties.I have been here many times with my gang. Some of my best tried are:1)	Kiwi Splash2)	Virgin Mojito3)	Strawberry Splash4)	Coco Loco5)	Thai Spring Rolls6)	Alfredo Pasta7)	Chilly Mushroom Bruschetta8)	Margarita Pizza9)	Chilly Mushrooms10)	Afghani Chicken11)	Walnut Brownie12)	Paneer TikkaI would rate them below as:DJ: 5/5Staff: 4.5/5Food: 4/5Ambience: 5/5Service: 4/5Worth the money: 5/5
1416,"Situated on the club road Punjabi baag, it is one of the best place to have food with its really nice ambience and dj. The service all good and staff all nice. Recently visited the place with friends for dinner. Had a really great time. We ordered virgin mojito,kiwi and strawberry splash, coco loco, thai spring rolls, margrita pizza, alfredo pasta, cold coffee, chilly mushrooms, brushetta, walnut brownie.Virgin mojito: not something really special but worth giving a try.Kiwi and strawberry splash: tried it for the first time and am gonna try it foreverCoco loco: an okayish coconut drinkSpring rolls:best spring rolls I've ever had. A must tryPizza: must try if you love thin crush...read more"
1417,"I have been here twice thinking that may be it happens sometime when there s a miscommunication between the staff. But oh boy, that is not the case. The staff is totally mismanaged and plain rude. They make you wait hours for your order and you need to keep them reminding otherwise it 'll be gone for a toss. I have a request to the owner, the place has been built beautifully, it is the service that is letting you down big time and you need to look into it asap. I really don't know how are they getting such rave reviews. Please buck up your service big time otherwise in the long run it will definitely get tough.Thanks "
1418,Great place to come for a relaxing drink with a great atmosphere. Wonderful service . Good place to dance and enjoy parties. They have terrace too.
1419,"Already visited this outlet a couple of time and and loved the mesmerizing interior and some amazing crowd and music. Tried some amazing starters like paneer Tikka , club sandwiches and penne pasta. They all were great with appropriate quantity. Main course tasted good as well , like the authentic dal makhani and paneer lababdar we're amazing . Had always loved my experience going out there and I will visit again soon."
1420,Great food great ambience...been dere two times one time fr lnch n another fr dnnr n the ambience dj ws jst awsme...hukka mocktails everythng iz jst mouthwatering...jst loved everythng d only thng i didnt like iz nobdy ws dere to ask fr abt d seatng or anythng n also service iz a bit too l8 so dats oy d issurle otherwse everythng iz jst wow...so ya u cngoo n hng out dere as foos ws very yummy...👍👍Dnt frgt to fllw me fr more n shw sme support...😊😊
1421,"Take off Scarlet , one of the best lounge at Punjabi bagh club road. If you are looking for perfect party house with quality food and good ambience , this is the highly recommended place . Seating has its own privacy and birthday party have their own corners . The service was indeed impressive . The staff was prompt and quick at service. Firstly , we ordered some starters paneer tikka , Afghani chicken which were great in taste . Then we ordered veg pizza , white sauce pasta and makhani pasta , both the pasta's were awesome . Then we moved to some mocktails and shakes were also great. I must say one of the finest place to hang out with your friends and have some booze and dance . And the...read more"
1422,"One of the best cafe and lounge located in club road.The ambience of this place is dark theme with a loud music that cheers you up.The crowd was good also they have a little bar.Service and staff was excellent.Went there few days ago with my friends,Started with some Refreshing mocktails like virgin mojito,watermelon mojito and pina colada.Then ordered some starters paneer tikka which was heavy and lipsmacking,Afghani chicken was delicious.At main course we had paneer lababdar,daal makhani which were splendid and breads were timely served in between.A perfect place to enjoy with your friends.Will visit again soon"
1423,I just went there and came back don't kNow about food but the place is all filled with cheap crowd I will never b stepping again here only for people who just come for hukka n alcohol 
1424,"Poor coordination of staff worker, we had to wait long to place order and most of the things were unavailable. Peri peri Fries were not good and Pizza was partly fine. Didn't like the service and music."
1425,"And from drinks to food, everything of this place was definitely amazing ♥️Must try😋Take Off Scarlet#burgerlove #delhifoodblog #delhifoodblogger #loveforfood #delhi #delhigirl #keepeating #hungrysoul #whattodoindelhi #foodislife #lovewhatyoudo #foodblog #foodforlife #foodblog #burgershurger #burgerking #macd #foodgasm #happysoul"
1426,Been here thrice for parties and personal table but never encountered any issues with late serving or waiters or dineout coupons.The dark ambiance is set great with warm lighting in the tables.DJ was AMAZIMG! can make anyone jump off their seats and dance!What I had-Dahi Ke Kebab: soft kebabs stuffed with dahi and spices (not much crispy)Chilli Chicken: tasted great but quantity could be more.Loaded Nachos: was cheesy but nachos were a bit soggy.White Sauce Pasta - was creamy and had right amount of flavorsChicken Tikka Pizza - Thin crust pizza with great amount of cheese and chicken.Overall:Food- 3.5/5Service - 5/5Ambiance - 5/5Cost - 3.5/5
1427,Its been a wonderful experience for me . This place is one of the most popular ones in punjabi bagh club road . I've heard of it like a million times and finally gets a chance to visit . This place is really nice . The ambience is quite dark but the loud music and everything completes all the check list you must need for a party place 😁 . The food + the staff was cherry on the top . The veg pizza with all the toppings was so amazing . Frankly speaking i liked it so much that i ordered it twice though my tummy was full but i couldnt resist it . Their veg. Pizza is must to try . Coming to the mocktails they were average but rest of the food was mind blowing . Staff was extremely friendly...read more
1428,A very splendid place with good ambience .We organised our college freshers party here.The dj was fun. And the dhol was best.Food is yummy but service was quiet ok ok.Food was yummy. Good place for party
1429,"Place is having good ambience but u wont find crowd like cp. One thing i didn't like was the behavior of staff, they were not courteous towards customer rather some were rude. Live music was the only attraction which starts after 9.00 pm. Less people were there but later after 9.00 pm it was almost full. And less availablity of drinks. Prices were different from that available on zomato. Food was nice. Tried paneer pan pizza it was good for satisfying your taste buds. Will recommend to all the nearby food and beverages hunter. "
1430,"Loved it! Food was yummy! Ambience was great! Loved the dhol! Service was pretty ok ok. We booked our tables online but still struggled to get ours. Anyway , Best birthday ever. "
1431,One word- unprofessional. Worst experience. Even though valet service is there but nobody came at least for half an hour. And then the person at the front office stated that there was rush. Hardly people were there. Do not visit this place. 
1432,"NYC place for treats.....u can enjoy music ,dancing and live music performances here....food was decent....the peri peri pasta ,soya chap were good,There is an option for both indoor and outdoor seating....overall a place u could try out...."
1433,The best place to have parties ! One will surely enjoy because of the DJ. Also the food is amazing. I have visited this place many a times and I never get tired of this place. 
1434,"I would have given it may be 4 or 5 but my reason of rating it 1 is due to their unprofessional behavior ,we had bought two coupons on nearbuy app and over app it's is clearly mentioned that we can avail it on all days ,Went along with my wife and cousins ,we were literally humiliated by their staff ,they were not listening to us ,nobody was coming to take our order ,and then few of their staff (waiters ) said we won't be able to serve you as you have coupons ,funny thing is he said it after his manager had already redeemed coupons ,it was total miscommunication between manager and his own staff ,finally drinks and food arrived ,food was really good though quantity was not great but I...read more"
1435,Tos is a good place for party with friends. Sound quality is too goood. Tos is in punjabi bagh .its a good food. Dj lights is too awesome....
1436,"Very bad experience..... went there Saturday night.... the air conditioning was not working..... it was hot chamber, we sweated more than a gym. And they could not do anything about it.Service was very bad....They didn’t even had proper beer glasses..... taste of food was good but the service killed it!!! We had to fight for food,glasses,space,AC.... almost everything. Only positive thing was music specially dholl"
1437,"One of the best place to have a party!Best DJ, kickass food and drinks.Had the best time with the gang here!Spring Roll, Paneer and Chicken Tikka, Malai Chicken Tikka and Butter Chicken along with naans were the star dishes.Do visit this place "
1438,This is the best place in Punjabi bagh.. Food is very delicious. I love the dhol. They provide best service with reasonable price .. Everything is good 
1439,"One of the so called best places in punjabi bagh.So over rated and so over hyped place. The staff behaviour was even worse than the food. Firstly, there is only one lift that too can carry only 8 people, using the staircase is not an option as they have put a door which was closed between the 3rd and the 4th floor.I had a confirm booking still i was asked to wait on the standing tables,after some requests we were allotted some seats.We litreally had to beg the waiters to get our ordersAbout the food,if you have taste buds then this place is not recommended. I bet no one can tell the difference between Chilly Chicken and Chicken drum sticks. The management  were reluctant and were...read more"
1440,Food is delicious Valet is goodService is bad! Very short staffed. Poor rooftop seating arrangement. And I had to wait to just pay my bill coz card machine is nada 
1441,"Take off scarlet, is a nice dinein outlet in punjabi bagh.I recently went here with my squad and had a memorable experience.Service was quick and presentation was amazing.I would highly recommend you to try this place if you are around.Taste 5/5Ambience 4.5/5Worth 5/5"
1442,Recently I visited here with my squad and had a memorable experience.Service was quick and overall experience was good.Ambience was amazing.I would highly recommend you to try this place if you are around.Service 5/5Taste 5/5Worth 4.6/5
1443,"This fantastic outlet at club road is one of my favorite place to hangout with my friends. It a total party place with a dark ambience and a pretty cool DJ who lights up the mood and make your feet move. We easily got room for 7 people and we started our food marathon. We ordered some starters paneer tikka , Afghani chicken which were amazing from presentation till our mouth.We ordered veg pizza , makhani pasta & Alfredo white sauce pasta which were mesmerizing. We found staff very helping and service was fast .We had some club sandwiches which were overloaded with mayo. We then moved down the menu ordered all mocktails in the menu and dal makhani and paneer do pyaza were next in our...read more"
1444,Very nice staff polite and very friendly staff. Excellent quality of food serve by restaurant and good discounts on each and every menu. Overall nice experience with this restaurant 
1445,The place was nice. The satff was quick.And the food was something which can be rarely found in town.Overall the best place in punjabi bagh clib road!
1446,"Yesterday I visited this outlet for my friends birthday party.This place is one of the happening place of Punjabi Bagh.Even on the Tuesday afternoon it was full.It is a party place with dim lighting and loud songs.Coming to food I didn't had much expectations from food.But they suprised me.This place is having amazing food.We ordered penne pasta,pizza,paneer tikka and club sandwiches in starter.In main course we ordered Dal Makhni along with Garlic naan.Food is delicious specially the dal Makhni Nd makhani pasta."
1447,"Nice place. The food is not extra ordinary. Although it is quite expensive. I had pasta there. The drinks are good too. It is located on club road,punjabi bagh."
1448,"I went for my friends Birthday here. And is a perfect place to celebrate birthday,dance, enjoy outdoor sitting area as well as indoor. The ambience is great. Food is good.One of the most famous cafe's of Punjabi Bagh, justifies it's value of being known.Food: 4/5Ambience:5/5Staff: 5/5"
1449,"A really good place for friends to catch up with! I went there with my office friends for an annual celebration and turns out this place is a completely hidden gem. The food, service and ambiance are just amazing and one must try their Indian mains including Kadhai paneer and biryani. The servers were on their toes to cater us and made sure that we had a good time!"
1450,"Great place, been here first time and it's wasn't any disappointment different sitting areas , nice music , nice food the only con they don't serve on the open top in weekdays we ordered thin crust pizza which was great. Nachos and fafafal were ok ok. Would rate 3/5 for food and 4/5 overall experience. "
1451,"Take off scarlet is a fantastic place and almost my favourite place to party in Punjabi Bagh. Not only the ambiance is amazing, the food quality, quantity and pricing is also pretty decent. The cocktails aren’t too pricey and are good. One can go there for special occasions and party. The dim lit settings are very soothing to eyes and the food is an experience in itself. Overall, I love this place to bits. Have been a regular here, forever will be my favourite place to go."
1452,"If you are going to this place, do not miss the cocktails! TOS has some impressive offerings in terms of a huge menu and you’ll be delighted with the nominal pricing too. We not only had starters and drinks but also completed the meal with main course including dal makhni, Naan and butterchicken - This definitely deserves a special mention because honestly, I didn’t expect such amazing mains here. Super delighted to have my meal here. The manager was completely supportive at all the time and was prompt to replace the paneer dish which we didn’t like. Will definitely be back to try more!"
1453,"The place is a complete gear of fine dining and partying with family and friends. The food menu is set as per the tastes and preferences of the Delhiites. To start with, the mocktails are great to sip on. Dahi ke kebab, Malai Paneer tikka, Seekh hara kenan & Murg seekh kebab are some of the common dishes you will come across making you indulge into mouth-watering foodOverall it will be a refreshing experience that will compel you to come back again."
1454,"Like seriously I had great experience here. Loved their all services. They played some cold music in background which were make elegant ambience. Their food truck is also nice, some mouth watering foods are refreshed to us.. Their all Djs are good but DJ ansh is awesome.. I loved my time which I was spent there. "
1455,"If you are looking for a place where you can dance, enjoy , get little drunk along with flavoursome food so TOS that is located in the hub of lounges,  Punjabi bagh club road should be a considerable option for you. You don’t even have to bother for parking your car as they offer valet service as well.The décor of this place is simple and elegant."
1456,This place is a complete party place and i love to visit here.Today i was gere with my friends was a casual hangout and as always I loved it.The food that they serve is delicious and I completely loved it.The cocktails and mocktails were also great.
1457,An amazing place in club road of delhi.I loved to visit this place and friends were all groomed here and we had a lot of fun here.Must visit place:)
1458,"Tos a launge in punjabi bagh is one of the best hangout place on punjabi bagh club road..Awesome ambience,served are amazing,good food service"
1459,TOS - the best cafe lounge in Punjabi bagh with the awesome ambiance  staf over there is so niceFoods is so yummy .. aslo serve drinks. Best place to organise party’s ..buffet also available which is a nice thing again
1460,"This comes in a little late but I happened to visit TOS a few months back.The atmosphere is vibrant, food is great, you have a wide range of drinks to choose from and the music is good. The level of service is top notch, adding to the appeal of TOS.To summarize, it undoubtedly is a great place to relax, unwind and reconnect with your friends. I loved the experience and would surely like to return soon."
1461,"An amazing place for party.Vibrant and colourful ambience to light up your mood.Well there are dhol wala which ignite the crowd to dance more.An amazing electro bar menu with decent taste.And courteous staff to make this olace much better.Reasonable rate to hangout and throw parties.And yes,It also serve amazing hookah for shisha lovers."
1462,"Yesterday i went to this lounge known as tos in Punjabi baghThis is a really nice place  With such great ambiance and  you may fall in love with their interiours ,  The service was also really good and quick . Really like the place now talking about food  Some of my favourites were : Veg paneer pizza,pasta,spring rolls shakesOreo and kit kat shake was bestKiwi cooler was also great"
1463,"Food 4/5(good food, we ordered tandoori chicken which was yummy, pizza was good, dahi ke kabab was not that good, because it was more sweet)Drinks 4.9/5( all the drinks was perfect on first orange base, second one strawberry and my favorite was kafir lime base drink, the only missing was there glasses)Ambience-4/5(good)Service-4/5( good)Hookah-1/5(no smoke)( bakwaas)Music -.001/5 ( boring music)(the answer was no crowd no good music)"
1464,Visited TOS for a bday party..Tos is one of the lit place in Punjabi baghOne of the finest place to hang out with friends and have some booze and danceWe had amazing food and shakes hereAnd the best part was dj and ambience
1465,"Yesterday we were few friends decided to hang out together to party.So we went to this place tos(take off scarlet) in Punjabi bagh situated nearby Punjabi bagh west metro station(pink line).Ambience was quite good here...Loved each and every food dish and drinks.Specially spring rolls and kitkat shake.Other than this i loved oreo shake, mango bite where i seriously had a taste like i m having a mango biteIce tea was goodVirgin mojitos were great as alwaysKiwi cooler was great.We had veg and non veg pizzas, reda and white sauce pastas.Chicken tikka was good.Main course-butter chicken was awesome with soft chicken and nice gravy with butterDaal makhni was good in...read more"
1466,Awesome ambience with lit dance floor.. This is the place we as youth looks for enjoying...I enjoyed the food Shakes were too goodThis is must try lounge for food and party..Otherwise it was an awesome experince in take off scarlet..If want to spend some awesome time..with your frnds you must go there. 
1467,I loved the atmosphere hereThis is completely a party loungeWhere you all can enjoy hukkah cocktails moctails food veg and nonvegDj here is lit along with dholIt also has dance floorFood and service is great hereOne of the amazing drink was mango biteOreo and kitkat shake were also amazing
1468,Yesterday i went to this place called tos in Punjabi bagh..It is situated nearby Punjabi bagh west metro station..Atmosphere was just lit here with awesome dj and dance floorCrowd here was too goodFood and Drinks were too good here..Specially the oreo and kitkat shake
1469,Worst experience ever! Manager doesn't know how to talk. Worthless to go here! The staff is not even cooperative. Didn't give any discount on booking through Dineout 
1470,"The Ambience was good the live music was good even the DJ was very nice but the service was pathetic except the manager , he tried to do a good job , almost all the food dishes were below average , I would not recommend this place if you want good food but the whole atmosphere was really good ."
1471,I went to TOS nd it's an amazing place to chill out...crowd was amazingfood was mouth watering but quantity was not upto the pricedj was lit❣️a little pricy according to me but still a must visit place...had an amazing time there...
1472,"Tos - take off Scarlet located in Punjab bagh Northwest avenue 13-c new Delhi easy to locate .The place has amazing ambience and seating space , with open seating and delectable decor.The place offers quite a wide range of cuisineNorth Indian, Italian , Chinese and continental.I triedThe grilled chicken sandwich which was quite good with the stuffings and fresh chicken patty.Fish and chips out here are amazing and won't disappoint you a bit .Chicken biryani is full of spice's and has an amazing aroma to it which makes it even more special.The staff and service is very good with the service they provide .Give this place a try ."
1473,"Bad service .. does not justify the rating givenThe service was super duper slow, the staff did not seem to bother much nor did the manager inspite of several requests & reminders. Staff not well versed with the menu none food or drinks.The bar tender also needs to work upon the cocktails & service. Not recommended !"
1474,"If you don’t rate this place 5 stars. Probably you don’t deserve TOS. One of the best places to visit in Punjabi Bagh. The ambience is more than perfect . Lighting gives en electronic feel. Food is really delicious, especially tandoori chicken and white sauce pasta. DJ was awesome . The eye catching thing was that the DJ was collaborated with 4 shop players. A new thing for me. Must visit. Would visit again without even thinking twice"
1475,i couldn’t have been more disappointed !! worst cafe to visit  on club road ! staff was ill mannered and rude after waiting for 45 mins : we ordered 2 mojito 1 paneer tikka and chicken nachoes we recieved veg nachoes with a beer 🤣 time and money wasted 🙃and food quantity 🤦‍♀️
1476,I was at Punjabi Bagh and found this amazing place and decided to have dinner here.This place has a good ambience and good service with well known staff.We ordered the following items-veg tandoori platter-Cheesy nachos-paneer tikka-corn salt and pepper-Dry red rose paneer tikkaFood was delicious as well as well presented.Would Recommend this place to you guys to visit atleast once
1477,"They didn't provide good services to the people who are waiting for vacant seats, don""t tell any info about waiting time. We were seating on terrace and waiting for our turn but they didn't call us for our turn and we asked about water, they even didn't provide it."
1478,One of the very finest restaurant located in the Punjabi Bagh Market. With super amazing food and amazing Mocktails and shake. Really loved the atmosphere and the vibe of this place. Q perfect place to dine in with Friends and Family. Would surely recommend it to everyone.
1479,Few days back we had visited TOS.  Its a nice place to visit for a date or party. Best part is they even have roof top ambiance. We had ordered chicken and chips with dips 4.5/5 paneer tikka 4/5 tandoori chicken 5/5 Fish chips 3.5/5Strawberry and kiwi slush 5/5I would rate the ambiance 4.5/5The only issue was the service was a bit slow and had to wait for the shakes a lot.
1480,Perfect as well as good for pocket place to be with your loved ones on weekoffsPerfect foodPerfect ambiencePerfect DJPerfect serviceI am soo in love with this place
1481,It was a completely Wow Wednesday night. Ambience was extremely good and so was the food. Live singing was like cherry on the cake and a perfect DJ finishes up the night well. Must Visit.
1482,You will love this once they start playing music. We went there on bhangra nights and it was amazing experience. Food was above average. I would love to visit there again.
1483,"Recently been to this place called Take Off Scarlet. The ambience of the restro was very beautiful. Happening music was playing throughout. People were dancing and enjoying themselves.------------------------------------------------------------------------------------Now coming to the food I had:kiwi coolers- refreshing and tangy drink. Highly recommended,Veggie pizza- recommended,Mexican Chicken Pizza- better than veggie pizza. Highly recommended,Amritsari fish fries- highly recommended.Butter naan- recommendedShahi paneer- recommendedDal makhni- recommended.-----------------------------------------------------------------------------------Overall a good experience."
1484,"Went to this place with my love. This place has a really loud insensate ambience. We ordered veg pizza, thai spring roll, paneer tikka and everything was decent with cheap pricing and loud music "
1485,The crowd was good !! The food was amazing and the waiters were also friendly !! The dj is really amazing loved the atmosphere there !! But they dont have the dj available all the time they have their timings i guess 
1486,The place seems very shady during the day and they don’t start full operations before 2pm. Had to request the manager quite a couple of times to let us use the terrace seating. Lousy service. Not so great food with not so great drinks. Very bad sheesha. Too expensive and unreasonably priced. Plus they charged us extra service charge. Had to fight with the manager to get it deducted from the bill. Never visiting again. Save your money and find a better place than this.
1487,Good place to visit with friends because of it’s cool amd partying environment. The crowd is also very good and the decor is amazing. TOS is situated at punjabi bagh. Their ambience is also good.The food we had there- • chicken galafi seekh• veg/non veg pizza• mutton seekh• amritsari fish• chicken wings • chilli chicken • dahi ke sholey• chicken lababdar• butter chicken • dal makhni• chicken biryani• veg biryani• paneer tikka masalaIn drinks-• my sweet babe• oreo shake• double berry• kit kat shake• kiwi cooler• chocolate shake• brownie shakeThe food was great. We had our main course with amazing garlic...read more
1488,"So foodieblissss visited to this awesome place located in club road, Rajouri garden. Well I love this place tbh. Their ambiance is so good and dj 💓. Food was also awesome and mocktails were so refreshing. Perfect place for party'lovers. Best place to visit with friends . Best place for night life in Punjabi Bagh . Their staff was friendly and they treat their customers quite well.Recommendation :- 5/5Ambiance:- 5/5Food:- 5/5Drinks :- 5/5Music:- 5/5Staff:- 5/5"
1489,We few friends went today celebrate birthday!! Food was okay but it was worst experience in terms of services. The staff made fake promises for dj and was very rude even with girls. The staff was very unprofessional and I would never visit this place again just because of the services and attitude of staff.
1490,I had a visit here with my frnds. It's a perfect place for partying in Punjabi Bagh. Ambiance was cool. We had:•Chicken Galafi Seekh•Amritsari Fish•Mutton Seekh•N/Veg Pizza•Chicken Nachos•Chicken Lababdar•Dal Makhani•Chicken Wings- The best in starters. Must try!In drinks we had: •My Sweet Babe•Kiwi Cooler•Chocolate ShakeThis place is definitely a worth try. Come here with your buddies for party and you'll not regret!
1491,"Suna hi tha bas, aaj Try bhi Kar liya..It was simply wow ! Mouthwatering dishes. Everything was perfect. Staff is friendly. Best restaurant in West Delhi. Beyond Expectations.Highly recommended for group of Friends. Would suggest you to go on terrace as well. Boss 5 on 5 for TOS. "
1492,"The menu are mouth watering with variety of options.. Their chefs are not only experienced and talented in their jobs but also creative, passionate and dedicated to making the best dishes you will ever take.The atmosphere of the restaurant is to say the least, welcoming and magnificent. The food was excellent that we have ordered..Recommended food : In non veg - amritsari fish tikka, chicken lababdaar, chicken pizza and butter chicken.And in veg - pasta's, shahi paneer, paneer tikka, dahi kabab. "
1493,A perfect party place with your group!My personal favourite!The perfect dj plays the perfect songs that makes the crowd jump on the beat.And the food is just so delicious here!This place is perfect for get to gather!✅
1494,"The best place in the whole punjabi bagh neighbourhood.Always crowded at the peak times.The DJ is great,food is amazing though the service is slow.Its great place for a birthday party.I have been to the place for like 6-7 times."
1495,"The ambience is just so beautiful and so is the terrace. The only bad thing was the servers. Man! They are so rude. They keep on staring at you while eating, when we need to clean the table, no one turns up. And delibrately ignore us even when we call out for them. Please change your staff or your restaurant may suffer in the long run. "
1496,"Recently i visited this cafe in search of some delectable food .Ambiance: (4/5) dim lights, indoor and outdoor comfortable seating, quirky and classy decor, spacious and crowded, light music with lively ambiance.What did I had?Paneer tikka : properly roasted and well cookedTandoori chicken : well marinated and properly cooked.Butter chicken : soft and litttle tanginess in it.Kitcat shake : well this is my favourite perfectly made .Service: (4/5) the staff was attentive and the service was also on time."
1497,If you are looking to spend a nice evening in rajouri then this is the place to visit. Its very beautiful and you can spend your evening easily here with good food and music.I loved their virgin mojito as it was made to perfection.Also their Indian starters tasted well. Do try their veg platter for sure.
1498,Visited this cafe yesterday. The food was fine and service was also quite good . I ordered some dishes and drinks. •Mutton kababPerfectly cooked and hot serviced •virgin mojito All the flavour tasted great  •butter chicken and butter naaanPerfection  Highly recommend for hangout with your colleagues.  My rating :-Service:-(3.5/5)Food:- (3/5)Ambiance:(3/5)
1499,The atmosphere of this place is so nice that you wont realize how the time will pass in seconds. I ordered the cold coffee first and or was kinda beyond my expectation it was soo good and i ordered some starters so nicely presented and so tasty and i have tried a lot of places but the main course here is just the best by now and now i go there so often eith friends and family. Great experience and great serviceMy rating:-Service:-(5/5)Taste:-(4.5/5)Ambiance:-(4.5/5)Happy eating folks! 
1500,"Hey guyz.. Yestrday v went to TOSS , awsme place. Food was realy good as we ordred starters including shakes. Mojitos r my fav ☺. Dal mhakini , soya chapp were good in taste.. Awsem place"
1501,"I wnt to take off scarlett in punjabi bagh, club was totaly outstandng. Food ws delicious. Even v spcly ordr non veg ws good in taste. Cold coffe n mojitos also excellnt. Must go"
1502,"I visited the outlet scarlett at punjabi bagh. We really enjoyed the place as it was very nicely themed and comfortable seating. Food was good and good variety to order from. We ordered many things and I ones we liked were Paneer tikka, fish chips, cold coffee smells good . Nice place to visit with friends."
1503,"I wish I could give a zero, my server abruptly restrained me from going upstairs for clicking photos claiming that customer often go off without paying.He wanted to me to hand over my mobile phone or wallet as a security while we click photos.Visit TOS if you wanna get stinking vibes on a good day. The staff couldn't have been more unprofessional."
1504,"I visited this place on a sunday evening with my friends, only to find out that the place was jammed with people and we had to wait for a good 15 minutes, which was quite okay. The food wasgood but the drinks could have been better and we got quite a good deal for 7 of us. The Music was the best part of the cafe . We really enjoyed dancing to the awesome tracks and had a great evening ! Would totally recommend if you are looking to party and chill with your friends. "
1505,"Few days back i visited this cafe in search of some delectable food and it was totally able to satisfy my taste buds. Ambience: (4/5) dim lights, indoor and outdoor comfortable seating, quirky and classy decor, spacious and crowded, light music with lively ambiance,excellent service,good staff."
1506,Found the place a bit interesting and unique from the rest of the places. It had a party type environment and you can visit and enjoy your day really hard here if you are a party animal. Plus the drinks at the place are fabulous and you can enjoy good food also . The music takes you into a background that you can relax and feel free all along
1507,"It was fantastic experience to visit Take off Scarlet based in Punjabi bagh. I had gone here on weekend . All seats were full and music was on high beat.I ordered mojito , brownie shake, juicy chicken burger, pasta with garlic breads. Drinks were great and food was good too. I will visit it again soon"
1508,"Take off scarlet in my opinion is the finest place in Punjabi Bagh. Just as you enter the place it gives you the ""party feels"". The place has so much to offer. It has dim lights, good music which fills you with energy instantly, warm decor and comfy couches. The service was quick and the staff was humble and catered us gracefully.And I just can’t stop mumbling about how good the food here was, so some of the items that we tried here- CHILLY PANEER- spicy as shown in the menu, made with a kind of desi-style, deep fried cottage cheese, best for chinese and oil lovers. Impressed by the presentation.DAHI KEBAB – best starter to order, crispy crust and dahi filled, perfectly...read more"
1509,"Day before yesterday, I had the opportunity to visit this outlet with friends and I must say the ambience took my breath away.The seating arrangement was also really nice and comfortable.Talking about food, it was delicious and drinks were amazing as well.I highly recommend the cheese loaded chicken nachos.Overall I had a really nice experience."
1510,"Nice Ambience and have huge space for a party and its DJ is best, food is also good but little expensive. You should try this place. Staff members are also good. "
1511,The Ambience of the lounge is pretty nice and the best thing about the lounge is the DJThe chicken wraps and the Dahi Kebab are the best food item I had thereChocolate Shake is pretty good in the tasteAmbience-4.5/5Staff-3.5/5Taste-4.5/5
1512,A party type place with a loud dj and superb songs collection although for talks and all this is not a right place rest food quality was good service was bit poor sheesha was good but take a long time just told us sir it's late bcz we don't have sheesha base empty all are on tables . Rest good .
1513,"One of the most happening and lovely places in Punjabi Bagh, really loved the ambiance.They’re having rooftop floor too.Come to Food and Drinks They’ve wide options in the menu Must try their - Tandoori Chicken, Fish Tikka, ana tandoor soya chaap.In drinks must try their Brownie and Kitkat Shakes."
1514,"Tos❤️I am seriously in love with this place❤️Quality of food they serve is superb😋This place is most of the time jam packed😍Ambience is pleasing😊The only thing they have to look about is, their management at some time is worst. 🙄Still I will give this place 4* due to the Quality and the Ambience 😊"
1515,"One of the Hyped cafes of Punjabi Bagh. I must say this place is worth the visit. The ambiance of this place is too good.The food quality is awesome. Here I ordered,Dahi Ke kebab - They were good in tasteDrum Sticks - AwesomeChicken Lollipop - Soo juicy and properly marinatedPaneer tikka - Properly grilled Cold Coffee - NiceNachos - NiceMakhni Pasta - Too GoodMurg Malai Tikka - It was creamy and juicyIn future, I love to visit this place again."
1516,Tos! This is how I know this place. THE BEST place in Punjabi Bagh to hang out with friends. I ordered dishes there and the taste was Soo good that they became my fav!Dahi k kabab were amazing. Shakes were nice.Burgers were excellent.Staff is friendly and service is very good.Ambience is just amazing.I loved this place.💖💖💖
1517,One of the most Looked out lounge in #Punjabibagh .The Ambience of the place is 🔥 food hookah everything is So smooth and undoubtedly it's a must visit 😋The Staff will please you with there best service.One of the most beautiful and worthy Place to visit have food !!Celebrating birthdays or parties will be great and memorable here❤ ! 
1518,"TOS is a very popular place in Punjabi bagh after hearding a lot visited here with my friends. Veg noodles, chilli potato Paneer lababdar and virgin mojito are were good. Pizzas were just ok did not like that much else everything was fine and good. Will love to visit this place again."
1519,Visited this place on a weekday for a freind's birthday and it is quite good place with dance floor as well. Music was great and food was worth the price mentioned in menu. If you are looking for decent place in punjabi bagh go at TOSS and reveiw yourself.
1520,"Went here on a saturday afternoon with a friend, food was good but service is slow as The staff was busy handling big groups and did not pay much attention to the couples. The DJ here is awsome which makes it a fun place to visit for those who love to dance. "
